unknown,TFIDF_cosine,libVar
001643.automARkdown,0.99901,RAW_Masaha
9604.json,0.85745,RAW_ABLibrary
580.html,0.85355,RAWrabicaRafed
1663.html,0.8477,RAWrabicaRafed
000920.automARkdown,0.84047,RAW_Masaha
9605.json,0.83952,RAW_ABLibrary
001227Vols.automARkdown,0.83239,RAW_Masaha
9551.json,0.83152,RAW_ABLibrary
1009MuhammadCamili.NihayatMaram.Shia000204Vols-ara1,0.82285,RELEASE
1009MuhammadCamili.NihayatMaram.Shia000204Vols-ara1,0.82111,RELEASE
670.html,0.81962,RAWrabicaRafed
001502Vols.automARkdown,0.81878,RAW_Masaha
9672.json,0.81662,RAW_ABLibrary
9680.json,0.81641,RAW_ABLibrary
001644.automARkdown,0.81514,RAW_Masaha
581.html,0.81499,RAWrabicaRafed
004317.automARkdown,0.81479,RAW_Masaha
001449Vols.automARkdown,0.81359,RAW_Masaha
004989Vols.automARkdown,0.80948,RAW_Masaha
001598.automARkdown,0.80734,RAW_Masaha
2996.html,0.80617,RAWrabicaRafed
1264.html,0.8061,RAWrabicaRafed
3252.html,0.80403,RAWrabicaRafed
1657.html,0.80344,RAWrabicaRafed
422.html,0.80116,RAWrabicaRafed
000822Vols.automARkdown,0.80112,RAW_Masaha
671.html,0.80038,RAWrabicaRafed
2876.html,0.79997,RAWrabicaRafed
1298.html,0.79954,RAWrabicaRafed
8640.json,0.79945,RAWrabicaShamAY1
1281MurtadaAnsari.Makasib.Shia000376Vols-ara1,0.79926,RELEASE
1281MurtadaAnsari.Makasib.Shia000376Vols-ara1,0.79899,RELEASE
003459.automARkdown,0.79751,RAW_Masaha
001263.automARkdown,0.79702,RAW_Masaha
993.json,0.79578,RAW_ABLibrary
9633.json,0.79567,RAW_ABLibrary
1384.html,0.79558,RAWrabicaRafed
001129Vols.automARkdown,0.79523,RAW_Masaha
001540.automARkdown,0.79486,RAW_Masaha
1315.html,0.79469,RAWrabicaRafed
9550.json,0.79438,RAW_ABLibrary
9836.automARkdown,0.79433,RAW_Ghbook
9356.json,0.79412,RAW_ABLibrary
001597.automARkdown,0.79408,RAW_Masaha
000831.automARkdown,0.79406,RAW_Masaha
1302.html,0.79384,RAWrabicaRafed
1358.html,0.79384,RAWrabicaRafed
001453Vols.automARkdown,0.7938,RAW_Masaha
9436.json,0.7934,RAW_ABLibrary
003767.automARkdown,0.79283,RAW_Masaha
1391.html,0.79261,RAWrabicaRafed
003595.automARkdown,0.79231,RAW_Masaha
991.json,0.79119,RAW_ABLibrary
622.html,0.79098,RAWrabicaRafed
1281MurtadaAnsari.QadaWaShahadat.Shia000363-ara1,0.79057,RELEASE
001461.automARkdown,0.79053,RAW_Masaha
005061Vols.automARkdown,0.78987,RAW_Masaha
001078Vols.automARkdown,0.78986,RAW_Masaha
004022Vols.automARkdown,0.78946,RAW_Masaha
1281MurtadaAnsari.QadaWaShahadat.Shia000363-ara1,0.78936,RELEASE
000828Vols.automARkdown,0.78886,RAW_Masaha
9748.json,0.78874,RAW_ABLibrary
1492.html,0.78857,RAWrabicaRafed
9392.json,0.78846,RAW_ABLibrary
1329MuhammadKazimAkhundKhurasani.LamacatNayyira.Shia000399-ara1,0.78842,RELEASE
001442.automARkdown,0.78833,RAW_Masaha
1329MuhammadKazimAkhundKhurasani.LamacatNayyira.Shia000399-ara1,0.788,RELEASE
1281MurtadaAnsari.RasailFiqhiyya.Shia000365-ara1,0.78773,RELEASE
001149.automARkdown,0.78727,RAW_Masaha
1553.html,0.78681,RAWrabicaRafed
002350Vols.automARkdown,0.78653,RAW_Masaha
1231MirzaAbuQasimQummi.ManahijAhkam.Shia000296-ara1,0.78615,RELEASE
9337.json,0.78595,RAW_ABLibrary
0826IbnCabdAllahSuyuri.NadadQawacid.Shia001084-ara1,0.78579,RELEASE
001803Vols.automARkdown,0.78549,RAW_Masaha
004331.automARkdown,0.7854,RAW_Masaha
992.json,0.78535,RAW_ABLibrary
1231MirzaAbuQasimQummi.ManahijAhkam.Shia000296-ara1,0.78525,RELEASE
1281MurtadaAnsari.RasailFiqhiyya.Shia000365-ara1,0.78518,RELEASE
9702.json,0.78489,RAW_ABLibrary
0826IbnCabdAllahSuyuri.NadadQawacid.Shia001084-ara1,0.78477,RELEASE
004330.automARkdown,0.78395,RAW_Masaha
3614.html,0.78383,RAWrabicaRafed
1281MurtadaAnsari.Zakat.Shia000367-ara1,0.78337,RELEASE
000820.automARkdown,0.78292,RAW_Masaha
001398Vols.automARkdown,0.78258,RAW_Masaha
005019.automARkdown,0.78254,RAW_Masaha
1281MurtadaAnsari.Zakat.Shia000367-ara1,0.78248,RELEASE
1281MurtadaAnsari.FaraidUsul.Shia002766Vols-ara1,0.78244,RELEASE
002637.automARkdown,0.78209,RAW_Masaha
003131.automARkdown,0.78209,RAW_Masaha
1406.html,0.782,RAWrabicaRafed
1071FadilTuniKhurasani.Wafiya.Shia002757-ara1,0.78196,RELEASE
3183.html,0.78195,RAWrabicaRafed
1281MurtadaAnsari.Salat.Shia000368Vols-ara1,0.78188,RELEASE
9606.json,0.78181,RAW_ABLibrary
0756TaqiDinSubki.QadaArab.Sham19Y0018610-ara1,0.78181,RELEASE
001151.automARkdown,0.78167,RAW_Masaha
001518.automARkdown,0.78156,RAW_Masaha
1281MurtadaAnsari.Salat.Shia000368Vols-ara1,0.78156,RELEASE
923.json,0.78143,RAW_ABLibrary
001566Vols.automARkdown,0.78142,RAW_Masaha
9676.json,0.78128,RAW_ABLibrary
0756TaqiDinSubki.QadaArab.Sham19Y0018610-ara1,0.78093,RELEASE
9751.json,0.78079,RAW_ABLibrary
002419.automARkdown,0.78069,RAW_Masaha
Shamela018610.txt,0.78058,raw_ShamelaY19
000998Vols.automARkdown,0.78052,RAW_Masaha
001160Vols.automARkdown,0.78048,RAW_Masaha
1281MurtadaAnsari.FaraidUsul.Shia002766Vols-ara1,0.78035,RELEASE
0786ShahidAwwal.Qawacid.Shia001082Vols-ara1,0.78032,RELEASE
1071FadilTuniKhurasani.Wafiya.Shia002757-ara1,0.77985,RELEASE
001456.automARkdown,0.77944,RAW_Masaha
9735.json,0.77943,RAW_ABLibrary
9742.json,0.77938,RAW_ABLibrary
769.html,0.77935,RAWrabicaRafed
001291Vols.automARkdown,0.77915,RAW_Masaha
000616Vols.automARkdown,0.77913,RAW_Masaha
0786ShahidAwwal.Qawacid.Shia001082Vols-ara1,0.77912,RELEASE
2698.html,0.77903,RAWrabicaRafed
8390.json,0.77876,RAW_ABLibrary
001520.automARkdown,0.7785,RAW_Masaha
001796Vols.automARkdown,0.77848,RAW_Masaha
000633.automARkdown,0.77829,RAW_Masaha
2679.html,0.77817,RAWrabicaRafed
003639.automARkdown,0.77811,RAW_Masaha
001592.automARkdown,0.77775,RAW_Masaha
8391.json,0.77764,RAW_ABLibrary
12054.automARkdown,0.77744,RAW_Ghbook
1097CaliIbnSalahIbnCaliTabari.Kafil.Zaydiyya0000407-ara1,0.77698,RELEASE
32675.json,0.77693,RAWrabicaShamAY2
1097CaliIbnSalahIbnCaliTabari.Kafil.Zaydiyya0000176-ara1,0.77691,RELEASE
001162Vols.automARkdown,0.77687,RAW_Masaha
003461.automARkdown,0.77672,RAW_Masaha
3151.html,0.77642,RAWrabicaRafed
11675.automARkdown,0.77637,RAW_Ghbook
8402.json,0.77633,RAW_ABLibrary
003567.automARkdown,0.77595,RAW_Masaha
997.html,0.77594,RAWrabicaRafed
001464Vols.automARkdown,0.7759,RAW_Masaha
1097CaliIbnSalahIbnCaliTabari.Kafil.Zaydiyya0000407-ara1,0.77559,RELEASE
002643Vols.automARkdown,0.77549,RAW_Masaha
003137Vols.automARkdown,0.77546,RAW_Masaha
1281MurtadaAnsari.Salat.Shia000370-ara1,0.77525,RELEASE
1011IbnShahidThani.MacalimDin.Shia002755-ara1,0.77516,RELEASE
9424.json,0.77497,RAW_ABLibrary
12119.automARkdown,0.77494,RAW_Ghbook
