unknown,TFIDF_cosine,libVar
Shia004661,0.91524,RAWrabica045000
1545.html,0.54682,RAWrabicaRafed
0660SultanCulamaCizzDinDimashqi.TafsirQuran.Tafsir02016-ara1,0.39138,RELEASE
0660SultanCulamaCizzDinDimashqi.TafsirQuran.JK007018-ara1,0.35677,RELEASE
0660SultanCulamaCizzDinDimashqi.TafsirQuran.JK007018-ara1,0.35416,RELEASE
0660SultanCulamaCizzDinDimashqi.TafsirQuran.Shamela0005638-ara1,0.35404,RELEASE
0660SultanCulamaCizzDinDimashqi.TafsirQuran.Shia002615Vols-ara1,0.35316,RELEASE
5638.json,0.3457,RAWrabicaShamAY1
1083IbnBalabanDimashqi.KafiMubtadi.ShamAY0038313-ara1,0.32857,RELEASE
1083IbnBalabanDimashqi.KafiMubtadi.ShamAY0038313-ara1,0.32616,RELEASE
0972IbnAhmadIbnNajjarHanbali.MuntahaIradat.Sham19Y0013664-ara1,0.32529,RELEASE
0972IbnAhmadIbnNajjarHanbali.MuntahaIradat.Sham19Y0013664-ara1,0.32296,RELEASE
1033MarciKarmi.DalilTalibLiNaylMatalib.Shamela0011196-ara1,0.32199,RELEASE
1033MarciKarmi.DalilTalibCalaMadhhabIbnHanbal.JK000115-ara1,0.32068,RELEASE
13664.bok.json,0.32053,RAWrabicaSham19Y
1033MarciKarmi.DalilTalibLiNaylMatalib.Shamela0011196-ara1,0.31938,RELEASE
1033MarciKarmi.DalilTalibCalaMadhhabIbnHanbal.JK000115-ara1,0.31804,RELEASE
0968IbnAhmadAbuNajaHajjawi.ZadMustaqnic.Shamela0011230-ara1,0.31804,RELEASE
1033MarciKarmi.DalilTalibCalaMadhhabIbnHanbal.ShamAY0034260-ara1,0.31751,RELEASE
0968IbnAhmadAbuNajaHajjawi.ZadMustaqnic.JK000790-ara1,0.31715,RELEASE
0968IbnAhmadAbuNajaHajjawi.ZadMustaqnic.ShamAY0034267-ara1,0.31682,RELEASE
0926ZakariyyaAnsari.ManhajTullab.JK000304-ara1,0.31624,RELEASE
0968IbnAhmadAbuNajaHajjawi.ZadMustaqnic.Shamela0011230-ara1,0.3156,RELEASE
31929.json,0.31432,RAWrabicaShamAY2
0926ZakariyyaAnsari.ManhajTullab.Shamela0012100-ara1,0.31361,RELEASE
1097IbnQaid.Hashiya.Sham19Y0018353-ara1,0.31358,RELEASE
0926ZakariyyaAnsari.ManhajTullab.JK000304-ara1,0.31354,RELEASE
38313.json,0.3134,RAWrabicaShamAY3
12100.bok.json,0.31213,RAWrabicaSham19Y
1097IbnQaid.Hashiya.Sham19Y0018353-ara1,0.31136,RELEASE
34267.json,0.30888,RAWrabicaShamAY3
12100.json,0.30593,RAWrabicaShamAY2
34260.json,0.30215,RAWrabicaShamAY3
2700.html,0.3013,RAWrabicaRafed
0732IbnYusufDujayli.WajizFiFiqh.Sham19Y0147064-ara1,0.30089,RELEASE
0767KhalilIbnIshaq.MukhtasarKhalil.ShamAY0034225-ara1,0.3002,RELEASE
Shia002615Vols,0.29995,RAWrabica040000
Shamela018353.txt,0.29977,raw_ShamelaY19
1205MurtadaZabidi.BulghatArib.Shamela0005980-ara1,0.29898,RELEASE
0732IbnYusufDujayli.WajizFiFiqh.Sham19Y0147064-ara1,0.29855,RELEASE
0767KhalilIbnIshaq.MukhtasarKhalil.ShamAY0034225-ara1,0.29746,RELEASE
0767KhalilIbnIshaq.MukhtasarKhalil.Shia000904-ara1,0.29732,RELEASE
0767KhalilIbnIshaq.MukhtasarKhalil.JK000255-ara1,0.29717,RELEASE
0767KhalilIbnIshaq.MukhtasarKhalil.Shamela0011355-ara1,0.29699,RELEASE
0672IbnMalikJayyaniTai.TashilFawaid.Sham19Y0013247-ara1,0.29696,RELEASE
9969.json,0.2968,RAW_ABLibrary
001521.automARkdown,0.29675,RAW_Masaha
