unknown,TFIDF_cosine,libVar
7567.json,0.96255,RAWrabicaShamAY1
8555.json,0.88717,RAWrabicaShamAY1
1285IbnHasanAlShaykh.MatlabHamid.Shamela0008555-ara1,0.8837,RELEASE
1285IbnHasanAlShaykh.MatlabHamid.Shamela0008555-ara1,0.88272,RELEASE
1293CabdLatifAlShaykh.MinhajTasisWaTaqdis.Shamela0012094-ara1,0.88057,RELEASE
12094.json,0.88,RAWrabicaShamAY2
1293CabdLatifAlShaykh.MinhajTasisWaTaqdis.Shamela0012094-ara1,0.87939,RELEASE
1293CabdLatifAlShaykh.CuyunRasailwaAjwiba.Shamela0011379-ara1,0.87847,RELEASE
8913.json,0.87838,RAW_ABLibrary
1285IbnHasanAlShaykh.KashfMaAlqahuIblis.Shamela0011354-ara1,0.87776,RELEASE
1285IbnHasanAlShaykh.KashfMaAlqahuIblis.Shamela0011354-ara1,0.87674,RELEASE
1349IbnSahmanKhathcami.BayanMubdi.Shamela0007568-ara1,0.87575,RELEASE
7568.json,0.87484,RAWrabicaShamAY1
1349IbnSahmanKhathcami.BayanMubdi.Shamela0007568-ara1,0.8743,RELEASE
1293CabdLatifAlShaykh.TuhfatTalib.Shamela0011082-ara1,0.87429,RELEASE
1342MahmudShukriAlusi.GhayatAmani.Shamela0012034-ara1,0.87327,RELEASE
1293CabdLatifAlShaykh.TuhfatTalib.Shamela0011082-ara1,0.87313,RELEASE
1342MahmudShukriAlusi.GhayatAmani.Shamela0012034-ara1,0.87145,RELEASE
8613.json,0.87108,RAWrabicaShamAY1
12034.bok.json,0.86991,RAWrabicaSham19Y
12034.json,0.86911,RAWrabicaShamAY2
3960.html,0.86886,RAWrabicaRafed
1349IbnSahmanKhathcami.DiyaShariq.Shamela0007664-ara1,0.86832,RELEASE
11379.json,0.86825,RAWrabicaShamAY2
8597.json,0.86774,RAW_ABLibrary
0728IbnTaymiyya.MustadrakCalaMajmucFatawa.Shamela0010284-ara1,0.86773,RELEASE
3437.html,0.86772,RAWrabicaRafed
9690.json,0.86768,RAWrabicaShamAY1
591.json,0.86761,RAWrabicaShamAY1
1349IbnSahmanKhathcami.DiyaShariq.Shamela0007664-ara1,0.86717,RELEASE
11730.bok.json,0.86706,RAWrabicaSham19Y
0728IbnTaymiyya.FatawaKubra.ShamAY0034363-ara1,0.86703,RELEASE
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shamela0010777-ara1,0.86683,RELEASE
0728IbnTaymiyya.MustadrakCalaMajmucFatawa.Shamela0010284-ara1,0.8668,RELEASE
1238.json,0.86679,RAWrabicaShamAY1
1349IbnSahmanKhathcami.KashfGhayahib.Shamela0011353-ara1,0.86677,RELEASE
Shamela038000.txt,0.86659,raw_ShamelaY19
Shamela030868.txt,0.86647,raw_ShamelaY19
11730.json,0.86616,RAWrabicaShamAY2
11353.json,0.86604,RAWrabicaShamAY2
0728IbnTaymiyya.FatawaKubra.Shamela0009690-ara1,0.86585,RELEASE
1480.json,0.86582,RAWrabicaShamAY1
1349IbnSahmanKhathcami.KashfGhayahib.Shamela0011353-ara1,0.86576,RELEASE
0728IbnTaymiyya.MajmucatRasailWaMasail.ShamAY0034371-ara1,0.86559,RELEASE
0840IbnWazirYamani.ItharHaqq.JK000966-ara1,0.86555,RELEASE
0728IbnTaymiyya.FatawaKubra.Shamela0009690-ara1,0.86515,RELEASE
Shamela036571.txt,0.86514,raw_ShamelaY19
3496.html,0.86468,RAWrabicaRafed
0728IbnTaymiyya.MajmucatRasailWaMasail.ShamAY0034371-ara1,0.86452,RELEASE
34371.json,0.86452,RAWrabicaShamAY3
0840IbnWazirYamani.ItharHaqq.Shamela0005937-ara1,0.86446,RELEASE
38000.bok.json,0.86439,RAWrabicaSham19Y
0840IbnWazirYamani.ItharHaqq.JK000966-ara1,0.86427,RELEASE
1293CabdLatifAlShaykh.MisbahZalam.Shamela0030868-ara1,0.86425,RELEASE
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.Shamela0011572-ara1,0.86372,RELEASE
0728IbnTaymiyya.MajmucatRasailWaMasail.Shamela0011730-ara1,0.86356,RELEASE
Shamela020643.txt,0.86347,raw_ShamelaY19
1293CabdLatifAlShaykh.MisbahZalam.Shamela0030868-ara1,0.86344,RELEASE
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shia004503-ara1,0.86319,RELEASE
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.JK000146-ara1,0.863,RELEASE
34363.json,0.86298,RAWrabicaShamAY3
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.Shamela0011572-ara1,0.86271,RELEASE
7664.json,0.86216,RAWrabicaShamAY1
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.JK006892-ara1,0.86204,RELEASE
7289.json,0.86198,RAWrabicaShamAY1
0728IbnTaymiyya.JamicMasail.Sham19Y0018128-ara1,0.86196,RELEASE
Shamela145376.txt,0.86179,raw_ShamelaY19
470.json,0.86168,RAWrabicaShamAY1
37977.json,0.86166,RAWrabicaShamAY3
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.86155,RELEASE
12304.json,0.86155,RAWrabicaShamAY2
0728IbnTaymiyya.MajmucFatawa.JK000381-ara1,0.86154,RELEASE
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.86072,RELEASE
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shamela0010549-ara1,0.86062,RELEASE
0728IbnTaymiyya.RasailWaFatawa.JK006835-ara1,0.86033,RELEASE
Shamela031076.txt,0.86018,raw_ShamelaY19
1657.json,0.85994,RAWrabicaShamAY1
1354RashidRida.Manar.Tafsir02103-ara1,0.85978,RELEASE
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shamela0010549-ara1,0.85958,RELEASE
7654.json,0.8592,RAWrabicaShamAY1
Shamela115133.txt,0.85913,raw_ShamelaY19
0728IbnTaymiyya.JamicMasail.Sham19Y0016422-ara1,0.8591,RELEASE
35496.json,0.85907,RAWrabicaShamAY3
0728IbnTaymiyya.MajmucFatawa.Shamela0007289-ara1,0.85892,RELEASE
0728IbnTaymiyya.JamicMasail.Sham19Y0145376-ara1,0.85889,RELEASE
Shamela026332.txt,0.85868,raw_ShamelaY19
38793.json,0.85861,RAWrabicaShamAY3
37747.json,0.85854,RAWrabicaShamAY3
0728IbnTaymiyya.MajmucFatawa.Shamela0007289-ara1,0.85821,RELEASE
35204.json,0.8582,RAWrabicaShamAY3
8352.json,0.85813,RAWrabicaShamAY1
31656.json,0.85766,RAWrabicaShamAY2
8349.json,0.85725,RAW_ABLibrary
3902.html,0.8572,RAWrabicaRafed
1349IbnSahmanKhathcami.SawaciqMursala.Shamela0007663-ara1,0.85687,RELEASE
26332.json,0.8567,RAWrabicaShamAY2
6820.json,0.85638,RAWrabicaShamAY1
33116.json,0.85628,RAWrabicaShamAY2
1436.html,0.85619,RAWrabicaRafed
0728IbnTaymiyya.JamicMasail.Sham19Y0017835-ara1,0.85601,RELEASE
8789.json,0.85586,RAW_ABLibrary
Sham30K0008352,0.85575,RAWrabica010000
1349IbnSahmanKhathcami.SawaciqMursala.Shamela0007663-ara1,0.85563,RELEASE
35719.json,0.85543,RAWrabicaShamAY3
Shamela023631.txt,0.85537,raw_ShamelaY19
42.json,0.8553,RAWrabicaShamAY1
6820.bok.json,0.85525,RAWrabicaSham19Y
35562.json,0.85512,RAWrabicaShamAY3
35828.json,0.85509,RAWrabicaShamAY3
11098.json,0.85501,RAWrabicaShamAY2
Shamela023606.txt,0.85494,raw_ShamelaY19
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shamela0008352-ara1,0.85491,RELEASE
7663.json,0.85484,RAWrabicaShamAY1
0728IbnTaymiyya.Tisciniyya.Sham19Y0017581-ara1,0.85451,RELEASE
7597.json,0.85447,RAWrabicaShamAY1
0728IbnTaymiyya.Istiqama.JK000028-ara1,0.85447,RELEASE
23631.json,0.85435,RAWrabicaShamAY2
1677.html,0.85433,RAWrabicaRafed
Shamela146418.txt,0.85433,raw_ShamelaY19
8488.json,0.85432,RAWrabicaShamAY1
1285IbnHasanAlShaykh.RasailWaFatawa.Shamela0011211-ara1,0.8542,RELEASE
9010.json,0.85409,RAW_ABLibrary
29.json,0.85405,RAWrabicaShamAY1
1404IbrahimQattan.TaysirTafsir.Tafsir09068-ara1,0.85403,RELEASE
913.json,0.85398,RAWrabicaShamAY1
0728IbnTaymiyya.Tisciniyya.Sham19Y0017581-ara1,0.85394,RELEASE
1444.html,0.85394,RAWrabicaRafed
9610.json,0.8539,RAWrabicaShamAY1
1206IbnCabdWahhab.MuallafatIbnCabdWahhab.JK000348-ara1,0.8538,RELEASE
Sham30K0002800,0.85363,RAWrabica005000
0728IbnTaymiyya.Istiqama.Shamela0006820-ara1,0.8536,RELEASE
8454.json,0.8536,RAW_ABLibrary
0728IbnTaymiyya.Istiqama.JK000028-ara1,0.85359,RELEASE
7597.bok.json,0.85355,RAWrabicaSham19Y
1241IbnMuhammadKhalwatiSawi.FaIclam.ShamAY0035562-ara1,0.85353,RELEASE
1233SulaymanSibtIbnCabdWahhab.TawdihCanTawhid.Shamela0007597-ara1,0.85346,RELEASE
0728IbnTaymiyya.JamicMasail.Sham19Y0016953-ara1,0.85342,RELEASE
1285IbnHasanAlShaykh.RasailWaFatawa.Shamela0011211-ara1,0.85341,RELEASE
1404IbrahimQattan.TaysirTafsir.Tafsir09068-ara1,0.85338,RELEASE
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.8533,RELEASE
23606.bok.json,0.85312,RAWrabicaSham19Y
1206IbnCabdWahhab.MuallafatIbnCabdWahhab.JK000348-ara1,0.85274,RELEASE
38316.json,0.85273,RAWrabicaShamAY3
1233SulaymanSibtIbnCabdWahhab.TawdihCanTawhid.Shamela0007597-ara1,0.8527,RELEASE
0728IbnTaymiyya.RasailWaFatawa.JK006950-ara1,0.85264,RELEASE
8476.json,0.85249,RAWrabicaShamAY1
0728IbnTaymiyya.TalkhisIstighatha.ShamAY0034352-ara1,0.85243,RELEASE
1389MuhammadAlShaykh.FatawaWaRasail.Shamela0008476-ara1,0.85239,RELEASE
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.85238,RELEASE
8836.json,0.85227,RAW_ABLibrary
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Tafsir02102-ara1,0.85214,RELEASE
0728IbnTaymiyya.RasailWaFatawa.JK006950-ara1,0.85207,RELEASE
23606.json,0.85206,RAWrabicaShamAY2
1660.html,0.85201,RAWrabicaRafed
37973.json,0.85196,RAWrabicaShamAY3
3931.html,0.85196,RAWrabicaRafed
1206IbnCabdWahhab.RasailShakhsiyya.Shamela0007629-ara1,0.85193,RELEASE
34353.json,0.85173,RAWrabicaShamAY3
34712.json,0.85172,RAWrabicaShamAY3
34352.json,0.85167,RAWrabicaShamAY3
Shamela037458.txt,0.85166,raw_ShamelaY19
0728IbnTaymiyya.TalkhisIstighatha.ShamAY0034352-ara1,0.85165,RELEASE
0728IbnTaymiyya.TalkhisIstighatha.ShamAY0034402-ara1,0.85159,RELEASE
0728IbnTaymiyya.JawabFiHilf.ShamAY0034353-ara1,0.85158,RELEASE
1241IbnMuhammadKhalwatiSawi.FaIclam.ShamAY0035562-ara1,0.85156,RELEASE
0751IbnQayyimJawziyya.TafsirQuran.Shamela0023606-ara1,0.85148,RELEASE
1206IbnCabdWahhab.RasailShakhsiyya.JK006891-ara1,0.85144,RELEASE
1285IbnHasanAlShaykh.MasailWaFatawaNajdiyya.Shamela0011573-ara1,0.85141,RELEASE
37986.json,0.8514,RAWrabicaShamAY3
8845.json,0.85137,RAW_ABLibrary
1389MuhammadAlShaykh.FatawaWaRasail.Shamela0008476-ara1,0.85128,RELEASE
0728IbnTaymiyya.JamicMasail.Shamela0022797-ara1,0.85125,RELEASE
35742.json,0.85112,RAWrabicaShamAY3
37660.json,0.8511,RAWrabicaShamAY3
0751IbnQayyimJawziyya.TafsirQuran.Shamela0023606-ara1,0.85096,RELEASE
1206IbnCabdWahhab.RasailShakhsiyya.Shamela0007629-ara1,0.85095,RELEASE
1681.html,0.85085,RAWrabicaRafed
0728IbnTaymiyya.JamicMasail.Sham19Y0013652-ara1,0.85081,RELEASE
Shamela037720.txt,0.85074,raw_ShamelaY19
8798.json,0.8506,RAW_ABLibrary
8910.json,0.85057,RAW_ABLibrary
473.json,0.85054,RAWrabicaShamAY1
1450AhmadBinHamadKhalili.JawahirTafasir.Tafsir06051-ara1,0.85053,RELEASE
35629.json,0.85039,RAWrabicaShamAY3
8353.json,0.85035,RAWrabicaShamAY1
0728IbnTaymiyya.SharhCaqidaIsfahaniyya.Shamela0011248-ara1,0.85034,RELEASE
1285IbnHasanAlShaykh.MasailWaFatawaNajdiyya.Shamela0011573-ara1,0.85021,RELEASE
0728IbnTaymiyya.JamicMasail.Shamela0022797-ara1,0.85015,RELEASE
Shamela115131.txt,0.85007,raw_ShamelaY19
1102NurDinYusi.MuhadaratFiLugha.JK010473-ara1,0.85,RELEASE
Shamela035760.txt,0.84979,raw_ShamelaY19
660.json,0.84974,RAWrabicaShamAY1
1450AhmadBinHamadKhalili.JawahirTafasir.Tafsir06051-ara1,0.84961,RELEASE
0728IbnTaymiyya.Intisar.ShamAY0038316-ara1,0.84946,RELEASE
0774IbnKathir.TalkhisKitabIstighatha.JK000383-ara1,0.84944,RELEASE
8353.bok.json,0.84911,RAWrabicaSham19Y
1307Qannawji.FathBayan.Shamela0037458-ara1,0.84907,RELEASE
Shamela020854.txt,0.84883,raw_ShamelaY19
35649.json,0.84879,RAWrabicaShamAY3
0774IbnKathir.TalkhisKitabIstighatha.JK000383-ara1,0.84872,RELEASE
0728IbnTaymiyya.Intisar.ShamAY0038316-ara1,0.84867,RELEASE
1307Qannawji.FathBayan.Shamela0037458-ara1,0.84865,RELEASE
Sham30K0014533,0.84854,RAWrabica015000
Shamela096252.txt,0.84849,raw_ShamelaY19
32146.json,0.84845,RAWrabicaShamAY2
1439.html,0.84844,RAWrabicaRafed
11071.bok.json,0.84843,RAWrabicaSham19Y
747.json,0.84842,RAWrabicaShamAY1
1188ShamsDinSaffarini.LawamicAnwar.Shamela0008353-ara1,0.84837,RELEASE
906.json,0.84829,RAWrabicaShamAY1
1102NurDinYusi.MuhadaratFiLugha.Shamela0000473-ara1,0.84814,RELEASE
1102NurDinYusi.MuhadaratFiLugha.JK010473-ara1,0.84811,RELEASE
0728IbnTaymiyya.BughyatMurtad.JK000374-ara1,0.8481,RELEASE
3700.html,0.84808,RAWrabicaRafed
37979.json,0.84794,RAWrabicaShamAY3
Shamela023590.txt,0.84787,raw_ShamelaY19
962.json,0.84786,RAWrabicaShamAY1
35699.json,0.84781,RAWrabicaShamAY3
8851.json,0.8478,RAW_ABLibrary
1658.html,0.84779,RAWrabicaRafed
Shamela022934.txt,0.84771,raw_ShamelaY19
Shamela036543.txt,0.84764,raw_ShamelaY19
1742.json,0.8476,RAWrabicaShamAY1
34950.json,0.84756,RAWrabicaShamAY3
8911.json,0.84753,RAW_ABLibrary
1188ShamsDinSaffarini.LawamicAnwar.Shamela0008353-ara1,0.84749,RELEASE
Sham30K0008353,0.84732,RAWrabica010000
11071.json,0.84731,RAWrabicaShamAY2
1664.html,0.84726,RAWrabicaRafed
8589.json,0.84721,RAW_ABLibrary
8590.json,0.84717,RAW_ABLibrary
0728IbnTaymiyya.BughyatMurtad.JK000374-ara1,0.84704,RELEASE
11079.bok.json,0.84697,RAWrabicaSham19Y
35615.json,0.84683,RAWrabicaShamAY3
0728IbnTaymiyya.BughyatMurtad.Shamela0011071-ara1,0.84679,RELEASE
11079.json,0.84674,RAWrabicaShamAY2
Sham30K0002645,0.84672,RAWrabica005000
3914.html,0.84671,RAWrabicaRafed
20854.json,0.84662,RAWrabicaShamAY2
8411.json,0.8466,RAW_ABLibrary
35203.json,0.84645,RAWrabicaShamAY3
Shamela0008555,0.84632,RAWrabica035000
146418.bok.json,0.84627,RAWrabicaSham19Y
115131.bok.json,0.84623,RAWrabicaSham19Y
6362.json,0.8462,RAWrabicaShamAY1
1282Ababutayn.TasisTaqdis.Shamela0011079-ara1,0.84614,RELEASE
31654.json,0.84598,RAWrabicaShamAY2
1433.html,0.84596,RAWrabicaRafed
36203.json,0.84576,RAWrabicaShamAY3
34247.json,0.84574,RAWrabicaShamAY3
Shamela023088.txt,0.84573,raw_ShamelaY19
Sham30K0014459,0.8456,RAWrabica015000
8686.json,0.84552,RAW_ABLibrary
8513.json,0.84546,RAW_ABLibrary
0962.bok.json,0.84543,RAWrabicaSham19Y
1327AhmadIbrahimCisa.TawdihMaqasid.JK000098-ara1,0.8453,RELEASE
1282Ababutayn.TasisTaqdis.Shamela0011079-ara1,0.8453,RELEASE
6362.bok.json,0.84527,RAWrabicaSham19Y
35259.json,0.84518,RAWrabicaShamAY3
1225IbnGhannamMalikiNajdi.CiqdThamin.Shamela0008514-ara1,0.84507,RELEASE
0728IbnTaymiyya.SharhCaqidaIsfahaniyya.JK000375-ara1,0.84499,RELEASE
23590.bok.json,0.84499,RAWrabicaSham19Y
11326.json,0.8449,RAWrabicaShamAY2
1233SulaymanSibtIbnCabdWahhab.Taysir.JK007099-ara1,0.8449,RELEASE
Shamela030866.txt,0.84487,raw_ShamelaY19
3178.html,0.84487,RAWrabicaRafed
3353.html,0.84481,RAWrabicaRafed
0737IbnMuhammadIbnHajjFasi.Madkhal.ShamAY0034247-ara1,0.84474,RELEASE
1250Shawkani.FathRabbaniMinFatawa.Shamela0036543-ara1,0.84461,RELEASE
3150.html,0.84456,RAWrabicaRafed
0558IbnAbiKhayrCimraniYamani.IntisarFiRadd.Shamela0007361-ara1,0.84452,RELEASE
