unknown,TFIDF_cosine,libVar
2512.json,0.99969,RAWrabicaShamAY1
1299IbnMuhammadNajafiQurashi.Hamasa.JK010727-ara1,0.9996,RELEASE
Sham30K0002512,0.99895,RAWrabica005000
2512.bok.json,0.99881,RAWrabicaSham19Y
0659SadrDinBasri.Hamasa.JK006907-ara1,0.81338,RELEASE
0659SadrDinBasri.Hamasa.Shamela0006901-ara1,0.81086,RELEASE
0659SadrDinBasri.Hamasa.JK006907-ara1,0.8108,RELEASE
6901.bok.json,0.81041,RAWrabicaSham19Y
6901.json,0.80947,RAWrabicaShamAY1
0622IbnShamsKhilafa.AdabNafica.Shamela0005433-ara1,0.7531,RELEASE
0622IbnShamsKhilafa.AdabNafica.Shamela0005433-ara1,0.75278,RELEASE
0297IbnDawudZahiri.Zahra.Shamela0000738-ara1,0.7519,RELEASE
5433.json,0.75075,RAWrabicaShamAY1
0738.bok.json,0.74926,RAWrabicaSham19Y
0431IbnMuhammadZuzani.HamasatZurafa.Shamela0000752-ara1,0.74896,RELEASE
738.json,0.74823,RAWrabicaShamAY1
0429AbuMansurThacalibi.Muntahal.Shamela0021105-ara1,0.74701,RELEASE
34542.json,0.74522,RAWrabicaShamAY3
Shamela021105.txt,0.74425,raw_ShamelaY19
752.json,0.7435,RAWrabicaShamAY1
21105.json,0.74091,RAWrabicaShamAY2
Sham30K0033936,0.73885,RAWrabica020000
0584IbnMunqidhShayzari.ManazilWaDiyar.Shamela0005416-ara1,0.73581,RELEASE
Sham30K0033862,0.73101,RAWrabica020000
5416.json,0.73089,RAWrabicaShamAY1
34454.json,0.72926,RAWrabicaShamAY3
0335Suli.AshcarAwladKhulafa.Shamela0007822-ara1,0.72845,RELEASE
7822.json,0.723,RAWrabicaShamAY1
0500AbuNasrMaqdisi.LataifWaZaraif.Shamela0010509-ara1,0.71639,RELEASE
0231AbuTamam.Wahshiyyat.Shamela0036082-ara1,0.71503,RELEASE
0609AbuCabbasJarrawi.HamasaMaghribiyya.JK006908-ara1,0.71246,RELEASE
0609AbuCabbasJarrawi.HamasaMaghribiyya.Shamela0006902-ara1,0.71021,RELEASE
0609AbuCabbasJarrawi.HamasaMaghribiyya.JK006908-ara1,0.71013,RELEASE
6902.bok.json,0.7097,RAWrabicaSham19Y
6902.json,0.70884,RAWrabicaShamAY1
0606IbnMamati.LataifDhakhira.Shamela0005392-ara1,0.70814,RELEASE
0284Buhturi.Hamasa.Sham19Y0148535-ara1,0.70708,RELEASE
0606IbnMamati.LataifDhakhira.Shamela0005392-ara1,0.70669,RELEASE
0325IbnIshaqWashsha.Muwashsha.Shamela0026102-ara1,0.7047,RELEASE
824.json,0.70469,RAWrabicaShamAY1
5392.json,0.70419,RAWrabicaShamAY1
0463IbnCabdBarr.BahjatMajalis.Shamela0000558-ara1,0.70412,RELEASE
0718AbuIshaqWatwat.GhurarKhasais.Shamela0001349-ara1,0.704,RELEASE
0718AbuIshaqWatwat.GhurarKhasais.Shamela0001349-ara1,0.70318,RELEASE
0718AbuIshaqWatwat.GhurarKhasais.JK010627-ara2,0.70314,RELEASE
Shamela148535.txt,0.70185,raw_ShamelaY19
1349.json,0.70183,RAWrabicaShamAY1
Shamela036082.txt,0.70171,raw_ShamelaY19
26102.bok.json,0.70164,RAWrabicaSham19Y
558.json,0.70113,RAWrabicaShamAY1
824.json,0.70058,RAW_ABLibrary
0395AbuHilalCaskari.DiwanMacani.Shamela0006909-ara1,0.69984,RELEASE
0453AbuIshaqHusri.ZuhrAdab.Shamela0010768-ara1,0.69881,RELEASE
10768.bok.json,0.6974,RAWrabicaSham19Y
6909.json,0.69728,RAWrabicaShamAY1
Shamela026102.txt,0.69727,raw_ShamelaY19
26102.json,0.69692,RAWrabicaShamAY2
33779.json,0.69691,RAWrabicaShamAY2
33801.json,0.69669,RAWrabicaShamAY2
0453AbuIshaqHusri.NurTaraf.Shamela0005351-ara1,0.69554,RELEASE
Sham30K0039083,0.69546,RAWrabica025000
Sham30K0033843,0.69527,RAWrabica020000
0597IbnMubarakBaghdadi.MuntahaTalab.JK010732-ara1,0.69445,RELEASE
6904.bok.json,0.69352,RAWrabicaSham19Y
10768.json,0.69327,RAWrabicaShamAY2
