unknown,TFIDF_cosine,libVar
1300IbnMuhyiDinJazairi.DhikraCaqil.JK010639-ara1,0.99554,RELEASE
34499.json,0.99484,RAWrabicaShamAY3
8430.json,0.81558,RAW_ABLibrary
37720.json,0.80013,RAWrabicaShamAY3
6392.json,0.79856,RAWrabicaShamAY1
1323MuhammadCabduh.RisalatTawhid.ShamAY0033867-ara1,0.79697,RELEASE
9264.json,0.79645,RAWrabicaShamAY1
1323MuhammadCabduh.RisalatTawhid.Shamela0006392-ara1,0.79615,RELEASE
1323MuhammadCabduh.RisalatTawhid.JK001276-ara1,0.7961,RELEASE
33867.json,0.79583,RAWrabicaShamAY2
8593.json,0.79556,RAW_ABLibrary
Shamela095660.txt,0.7954,raw_ShamelaY19
9579.json,0.79513,RAWrabicaShamAY1
Shamela096180.txt,0.79407,raw_ShamelaY19
3457.html,0.79317,RAWrabicaRafed
1572.json,0.79218,RAWrabicaShamAY1
1307Qannawji.AbjadCulum.Shamela0009579-ara1,0.78978,RELEASE
Shamela020643.txt,0.78973,raw_ShamelaY19
1307Qannawji.AbjadCulum.JK000676-ara1,0.78965,RELEASE
2679.html,0.78773,RAWrabicaRafed
8506.json,0.78685,RAWrabicaShamAY1
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.78674,RELEASE
34797.json,0.7857,RAWrabicaShamAY3
8525.json,0.78504,RAW_ABLibrary
0597IbnJawzi.SaydKhatir.Shamela0012028-ara1,0.78479,RELEASE
8753.json,0.78454,RAW_ABLibrary
001352Vols.automARkdown,0.78423,RAW_Masaha
1356MustafaSadiqRafici.IcjazQuran.Shamela0008506-ara1,0.78421,RELEASE
Shamela023794.txt,0.78306,raw_ShamelaY19
34078.json,0.78293,RAWrabicaShamAY2
32247.json,0.78208,RAWrabicaShamAY2
3529.html,0.78171,RAWrabicaRafed
0637IbnAthirDiyaDin.MathalSair.Shamela0023794-ara2,0.78158,RELEASE
Shamela037562.txt,0.78135,raw_ShamelaY19
10551.json,0.78128,RAWrabicaShamAY1
35859.json,0.78077,RAWrabicaShamAY3
23794.json,0.78049,RAWrabicaShamAY2
0597IbnJawzi.SaydKhatir.JK010547-ara1,0.78026,RELEASE
8390.json,0.7799,RAW_ABLibrary
8431.json,0.77857,RAW_ABLibrary
3935.json,0.77849,RAWrabicaShamAY1
8784.json,0.77837,RAW_ABLibrary
443.json,0.77808,RAWrabicaShamAY1
986.json,0.778,RAWrabicaShamAY1
003357Vols.automARkdown,0.77759,RAW_Masaha
8718.json,0.77689,RAW_ABLibrary
32251.json,0.77685,RAWrabicaShamAY2
1385AbuIshaqIbrahimAtfayyish.DacayaIlaSabilMuminin.ShamIbadiyya0000379-ara1,0.77678,RELEASE
Shamela026523.txt,0.77659,raw_ShamelaY19
Shamela029676.txt,0.77631,raw_ShamelaY19
8345.json,0.77618,RAW_ABLibrary
187.json,0.77571,RAWrabicaShamAY1
1081MuhammadSalihMazandarani.SharhUsulKafi.Shia001174Vols-ara1,0.77522,RELEASE
8335.json,0.77516,RAW_ABLibrary
5418.json,0.77509,RAWrabicaShamAY1
1343MustafaManfaluti.Nazarat.Shamela0011400-ara1,0.77498,RELEASE
6554.json,0.77464,RAWrabicaShamAY1
1209MuhammadMahdiNaraqi.JamicSacadat.Shia004042Vols-ara1,0.7746,RELEASE
29676.bok.json,0.77415,RAWrabicaSham19Y
Sham30K0002691,0.77328,RAWrabica005000
1660.html,0.77309,RAWrabicaRafed
1356MustafaSadiqRafici.Masakin.Shamela0005418-ara1,0.77297,RELEASE
6854.json,0.77288,RAWrabicaShamAY1
0637IbnAthirDiyaDin.MathalSair.JK000980-ara2,0.77266,RELEASE
1354RashidRida.Manar.Tafsir02103-ara1,0.77264,RELEASE
9092.json,0.77256,RAW_ABLibrary
11400.json,0.77246,RAWrabicaShamAY2
0637IbnAthirDiyaDin.MathalSair.Shamela0010551-ara1,0.77234,RELEASE
3614.html,0.77233,RAWrabicaRafed
1050SadrDinShirazi.Tafsir.Tafsir04040-ara1,0.77196,RELEASE
33901.json,0.77184,RAWrabicaShamAY2
32246.json,0.77173,RAWrabicaShamAY2
32184.json,0.77152,RAWrabicaShamAY2
Shamela021784.txt,0.77129,raw_ShamelaY19
962.json,0.77101,RAW_ABLibrary
1202.json,0.7708,RAWrabicaShamAY1
8751.json,0.77046,RAW_ABLibrary
35259.json,0.77034,RAWrabicaShamAY3
11071.bok.json,0.77027,RAWrabicaSham19Y
16974.bok.json,0.77026,RAWrabicaSham19Y
1250Shawkani.AdabTalab.Shamela0006854-ara1,0.77001,RELEASE
1250Shawkani.AdabTalab.JK006955-ara1,0.76997,RELEASE
10428.json,0.76984,RAWrabicaShamAY1
3616.html,0.76974,RAWrabicaRafed
Shamela133368.txt,0.76968,raw_ShamelaY19
0790IbnMusaGharnatiShatibi.Muwafaqat.Shamela0011435-ara1,0.7694,RELEASE
12304.json,0.76899,RAWrabicaShamAY2
0728IbnTaymiyya.BughyatMurtad.Shamela0011071-ara1,0.76892,RELEASE
7577.json,0.76871,RAW_ABLibrary
11071.json,0.7685,RAWrabicaShamAY2
12720.bok.json,0.76818,RAWrabicaSham19Y
Shamela022664.txt,0.76816,raw_ShamelaY19
32514.json,0.76805,RAWrabicaShamAY2
6947.json,0.76798,RAWrabicaShamAY1
0728IbnTaymiyya.BughyatMurtad.JK000374-ara1,0.76783,RELEASE
10521.json,0.76783,RAWrabicaShamAY1
1040.json,0.76778,RAWrabicaShamAY1
12028.json,0.76777,RAWrabicaShamAY2
8760.json,0.76769,RAW_ABLibrary
2385.html,0.76763,RAWrabicaRafed
8349.json,0.7675,RAW_ABLibrary
35258.json,0.76748,RAWrabicaShamAY3
8828.json,0.7673,RAW_ABLibrary
21784.bok.json,0.76718,RAWrabicaSham19Y
1658.html,0.76713,RAWrabicaRafed
12318.bok.json,0.76701,RAWrabicaSham19Y
8463.json,0.76692,RAW_ABLibrary
002350Vols.automARkdown,0.7669,RAW_Masaha
Shamela073348.txt,0.76689,raw_ShamelaY19
464.json,0.76667,RAWrabicaShamAY1
32338.json,0.76654,RAWrabicaShamAY2
000998Vols.automARkdown,0.76651,RAW_Masaha
Shamela018795.txt,0.76622,raw_ShamelaY19
802.json,0.76592,RAW_ABLibrary
12720.json,0.76575,RAWrabicaShamAY2
5981.json,0.7656,RAWrabicaShamAY1
Shamela147597.txt,0.76559,raw_ShamelaY19
002790Vols.automARkdown,0.76557,RAW_Masaha
21784.json,0.76545,RAWrabicaShamAY2
0790IbnMusaGharnatiShatibi.Muwafaqat.ShamAY0034196-ara1,0.76536,RELEASE
591.json,0.7653,RAWrabicaShamAY1
36730.json,0.76528,RAWrabicaShamAY3
34196.json,0.76528,RAWrabicaShamAY3
33746.json,0.76518,RAWrabicaShamAY2
1356MustafaSadiqRafici.TahtaRayatQuran.Shamela0021784-ara1,0.76514,RELEASE
1659.html,0.76508,RAWrabicaRafed
36039.json,0.76496,RAWrabicaShamAY3
3381.html,0.76491,RAWrabicaRafed
773.json,0.76484,RAWrabicaShamAY1
12318.json,0.76465,RAWrabicaShamAY2
33249.json,0.76465,RAWrabicaShamAY2
0790IbnMusaGharnatiShatibi.Muwafaqat.JK000279-ara1,0.76462,RELEASE
1238.json,0.76459,RAWrabicaShamAY1
004551.automARkdown,0.76454,RAW_Masaha
725.html,0.76453,RAWrabicaRafed
Shamela036571.txt,0.76445,raw_ShamelaY19
4135.json,0.76444,RAWrabicaShamAY1
8187.json,0.76437,RAWrabicaShamAY1
1338TahirJazairiDimashqi.TawjihNazar.JK000990-ara1,0.76387,RELEASE
3570.html,0.76344,RAWrabicaRafed
