unknown,TFIDF_cosine,libVar
1304CabdHayyLaknawi.RafcWaTakmil.Shamela0005973-ara1,0.99815,RELEASE
5973.json,0.99458,RAWrabicaShamAY1
34036.json,0.80928,RAWrabicaShamAY2
577.json,0.8006,RAWrabicaShamAY1
1332IbnMuhammadJamalDinQasimi.QawacidTahdith.JK006677-ara1,0.79794,RELEASE
Shamela036195.txt,0.79567,raw_ShamelaY19
Shamela037456.txt,0.79519,raw_ShamelaY19
38874.json,0.79436,RAWrabicaShamAY3
0852IbnHajarCasqalani.NuzhatNazar.Sham19Y0037456-ara1,0.7905,RELEASE
37318.json,0.78644,RAWrabicaShamAY3
12115.json,0.78459,RAWrabicaShamAY2
501.json,0.78396,RAWrabicaShamAY1
1581.json,0.78314,RAWrabicaShamAY1
1182IbnIsmacilSancani.IsbalMatar.Shamela0002241-ara1,0.78141,RELEASE
9863.json,0.78048,RAWrabicaShamAY1
923.json,0.77869,RAW_ABLibrary
0852IbnHajarCasqalani.TalkhisHabir.Shamela0001581-ara1,0.77867,RELEASE
Shamela023798.txt,0.77856,raw_ShamelaY19
1307Qannawji.HittaFiDhikr.JK000971-ara1,0.77837,RELEASE
812.json,0.77826,RAWrabicaShamAY1
0885BurhanDinBiqaci.NukatWafiyya.Shamela0023798-ara1,0.77745,RELEASE
10717.json,0.77596,RAWrabicaShamAY1
37311.json,0.77481,RAWrabicaShamAY3
Sham30K0002514,0.77415,RAWrabica005000
5976.json,0.7737,RAWrabicaShamAY1
1307Qannawji.HittaFiDhikr.Shamela0010717-ara1,0.77338,RELEASE
5976.bok.json,0.77308,RAWrabicaSham19Y
0804IbnMulaqqin.MuqnicFiCulumHadith.JK000996-ara1,0.77256,RELEASE
5979.json,0.77254,RAWrabicaShamAY1
37296.json,0.7724,RAWrabicaShamAY3
5979.bok.json,0.77192,RAWrabicaSham19Y
0804IbnMulaqqin.MuqnicFiCulumHadith.Shamela0005976-ara1,0.77174,RELEASE
Shamela096229.txt,0.77142,raw_ShamelaY19
Sham30K0002834,0.77139,RAWrabica005000
17807.bok.json,0.7712,RAWrabicaSham19Y
5981.json,0.7708,RAWrabicaShamAY1
1031CabdRaufMunawi.YawaqitWaDurar.JK006973-ara1,0.77013,RELEASE
1031CabdRaufMunawi.YawaqitWaDurar.Shamela0005979-ara1,0.77009,RELEASE
0902Sakhawi.FathMughith.JK006675-ara1,0.76924,RELEASE
1338TahirJazairiDimashqi.TawjihNazar.JK000990-ara1,0.76907,RELEASE
32381.json,0.76901,RAWrabicaShamAY2
5963.json,0.76884,RAWrabicaShamAY1
1338TahirJazairiDimashqi.TawjihNazar.Shamela0005981-ara1,0.76832,RELEASE
Shamela021660.txt,0.76785,raw_ShamelaY19
Sham30K0033926,0.76781,RAWrabica020000
9993.json,0.76767,RAWrabicaShamAY1
Sham30K0014346,0.7676,RAWrabica015000
37316.json,0.76682,RAWrabicaShamAY3
0743SharafDinTibi.Khalasa.Sham19Y0017807-ara1,0.76673,RELEASE
Shamela096783.txt,0.76671,raw_ShamelaY19
0840IbnWazirYamani.RawdBasim.Shamela0036427-ara1,0.76634,RELEASE
Shamela037602.txt,0.76629,raw_ShamelaY19
Shamela023799.txt,0.76606,raw_ShamelaY19
1431BadrDinHuthi.TahrirAfkar.Zaydiyya0000080-ara1,0.76587,RELEASE
0902Sakhawi.FathMughith.Shamela0005963-ara1,0.76583,RELEASE
2171.json,0.76548,RAWrabicaShamAY1
5978.json,0.76536,RAWrabicaShamAY1
Sham30K0002648,0.76528,RAWrabica005000
21660.bok.json,0.76518,RAWrabicaSham19Y
1031CabdRaufMunawi.FaydQadir.ShamAY0033524-ara1,0.76503,RELEASE
Shamela127654.txt,0.76496,raw_ShamelaY19
31741.json,0.76495,RAWrabicaShamAY2
1031CabdRaufMunawi.FaydQadir.Shia002287Vols-ara1,0.76469,RELEASE
37300.json,0.76461,RAWrabicaShamAY3
1332IbnMuhammadJamalDinQasimi.QawacidTahdith.Shamela0009993-ara1,0.76459,RELEASE
5978.bok.json,0.76454,RAWrabicaSham19Y
37349.json,0.76453,RAWrabicaShamAY3
96783.bok.json,0.76445,RAWrabicaSham19Y
Shamela036427.txt,0.76438,raw_ShamelaY19
0748Dhahabi.Kashif.Shamela0002171-ara1,0.7642,RELEASE
34195.json,0.76403,RAWrabicaShamAY3
12762.bok.json,0.76403,RAWrabicaSham19Y
1031CabdRaufMunawi.FaydQadir.Shamela0021660-ara1,0.76396,RELEASE
33524.json,0.76393,RAWrabicaShamAY2
38033.json,0.76385,RAWrabicaShamAY3
1998.json,0.7636,RAWrabicaShamAY1
0840IbnWazirMuhammad.RawdBasim.Zaydiyya0000084-ara1,0.76358,RELEASE
37602.bok.json,0.76311,RAWrabicaSham19Y
21660.json,0.7631,RAWrabicaShamAY2
0794BadrDinZarkashi.NukatCalaMuqaddimatIbnSalah.JK000991-ara1,0.76283,RELEASE
12762.json,0.76276,RAWrabicaShamAY2
8862.json,0.76264,RAWrabicaShamAY1
0794BadrDinZarkashi.NukatCalaMuqaddimatIbnSalah.Shamela0005978-ara1,0.7626,RELEASE
8862.bok.json,0.76184,RAWrabicaSham19Y
0643IbnSalahShahrazuri.MuqaddimatCulumHadith.Shamela0023799-ara1,0.76134,RELEASE
9987.json,0.76131,RAWrabicaShamAY1
9329.json,0.76115,RAWrabicaShamAY1
5956.json,0.76098,RAWrabicaShamAY1
