unknown,TFIDF_cosine,libVar
343.json,0.99124,RAWrabicaShamAY1
1332IbnMuhammadJamalDinQasimi.Mash.JK010343-ara1,0.9911,RELEASE
Sham30K0033918,0.81647,RAWrabica020000
11122.json,0.7511,RAWrabicaShamAY2
1332IbnMuhammadJamalDinQasimi.QawacidTahdith.Shamela0009993-ara1,0.74465,RELEASE
9993.json,0.74407,RAWrabicaShamAY1
1332IbnMuhammadJamalDinQasimi.QawacidTahdith.JK006677-ara1,0.74129,RELEASE
1332IbnMuhammadJamalDinQasimi.QawacidTahdith.Shamela0009993-ara1,0.73923,RELEASE
0734IbnCaliTajDinFakihani.RiyadAfham.Sham19Y0017350-ara1,0.73831,RELEASE
32244.json,0.73763,RAWrabicaShamAY2
0855BadrDinCayni.BinayaSharhHidaya.Shamela0000427BK2-ara1,0.73654,RELEASE
427.json,0.73547,RAWrabicaShamAY1
0734IbnCaliTajDinFakihani.RiyadAfham.Sham19Y0017350-ara1,0.7337,RELEASE
96844.bok.json,0.73243,RAWrabicaSham19Y
0804IbnMulaqqin.IclamBiFawaid.Sham19Y0013769-ara1,0.73239,RELEASE
812.json,0.73233,RAWrabicaShamAY1
1182IbnIsmacilSancani.SubulSalam.Shia001055Vols-ara1,0.73219,RELEASE
1338TahirJazairiDimashqi.TawjihNazar.Shamela0005981-ara1,0.73193,RELEASE
0855BadrDinCayni.BinayaSharhHidaya.Shamela0000427BK2-ara1,0.73143,RELEASE
2006.json,0.73138,RAWrabicaShamAY1
5981.json,0.73089,RAWrabicaShamAY1
000420.automARkdown,0.73053,RAW_Masaha
0794BadrDinZarkashi.NukatCalaMuqaddimatIbnSalah.Shamela0005978-ara1,0.73039,RELEASE
0794BadrDinZarkashi.NukatCalaMuqaddimatIbnSalah.JK000991-ara1,0.73031,RELEASE
5978.bok.json,0.73025,RAWrabicaSham19Y
5978.json,0.72923,RAWrabicaShamAY1
31775.json,0.72917,RAWrabicaShamAY2
1338TahirJazairiDimashqi.TawjihNazar.JK000990-ara1,0.72828,RELEASE
1390MahmudAbuRayya.AdwaCalaSunna.Zaydiyya0000153-ara1,0.72827,RELEASE
9293.json,0.72825,RAWrabicaShamAY1
004944Vols.automARkdown,0.728,RAW_Masaha
0804IbnMulaqqin.IclamBiFawaid.Sham19Y0013769-ara1,0.72717,RELEASE
1250Shawkani.NaylAwtar.Shia001060Vols-ara1,0.72507,RELEASE
0794BadrDinZarkashi.NukatCalaMuqaddimatIbnSalah.JK000991-ara1,0.72486,RELEASE
1119IbnMuhammadMaghribi.BadrTamam.Sham19Y0017747-ara1,0.72438,RELEASE
0840IbnWazirYamani.RawdBasim.Shamela0036427-ara1,0.72423,RELEASE
1346CabdQadirBadran.MadkhalIlaMadhhabAhmad.ShamAY0034195-ara1,0.72417,RELEASE
0852IbnHajarCasqalani.NukatCalaIbnSalah.JK006975-ara1,0.72371,RELEASE
6309.bok.json,0.72355,RAWrabicaSham19Y
1346CabdQadirBadran.MadkhalIlaMadhhabAhmad.JK000268-ara1,0.72354,RELEASE
1346CabdQadirBadran.MadkhalIlaMadhhabAhmad.Shamela0006309-ara1,0.72348,RELEASE
0840IbnWazirMuhammad.RawdBasim.Zaydiyya0000084-ara1,0.72348,RELEASE
688.html,0.72347,RAWrabicaRafed
1338TahirJazairiDimashqi.TawjihNazar.JK000990-ara1,0.72321,RELEASE
10541.json,0.72319,RAWrabicaShamAY1
1182IbnIsmacilSancani.SubulSalam.ShamAY0034278-ara1,0.72297,RELEASE
6309.json,0.72286,RAWrabicaShamAY1
1390MahmudAbuRayya.AdwaCalaSunna.Zaydiyya0000153-ara1,0.7228,RELEASE
1014MullaCaliQari.MirqatMafatih.Shamela0008176-ara1,0.72257,RELEASE
0902Sakhawi.FathMughith.Shamela0005963-ara1,0.72255,RELEASE
34195.json,0.72254,RAWrabicaShamAY3
0861IbnHumam.SharhFathQadir.JK000299-ara1,0.72238,RELEASE
Sham30K0002648,0.72235,RAWrabica005000
8176.json,0.72156,RAWrabicaShamAY1
9994.bok.json,0.72153,RAWrabicaSham19Y
5963.json,0.72147,RAWrabicaShamAY1
1307Qannawji.RawdaNadiyya.Shamela0009293-ara1,0.72136,RELEASE
Shamela036427.txt,0.7213,raw_ShamelaY19
