unknown,TFIDF_cosine,libVar
3960.html,0.83329,RAWrabicaRafed
Shamela023631.txt,0.82849,raw_ShamelaY19
3616.html,0.82848,RAWrabicaRafed
1480.json,0.82805,RAWrabicaShamAY1
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.82774,RELEASE
Shamela038000.txt,0.82768,raw_ShamelaY19
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.82752,RELEASE
3902.html,0.82749,RAWrabicaRafed
38000.bok.json,0.82662,RAWrabicaSham19Y
3798.html,0.82421,RAWrabicaRafed
3178.html,0.8235,RAWrabicaRafed
2905.html,0.82116,RAWrabicaRafed
23631.json,0.8204,RAWrabicaShamAY2
8349.json,0.81987,RAW_ABLibrary
1332NurDinSalimi.MacarijAmal.ShamIbadiyya0000229-ara1,0.81925,RELEASE
1332NurDinSalimi.MacarijAmal.ShamIbadiyya0000975-ara1,0.81923,RELEASE
1332NurDinSalimi.MacarijAmal.ShamIbadiyya0000229-ara1,0.81909,RELEASE
Shamela020643.txt,0.81788,raw_ShamelaY19
Shamela022835.txt,0.81717,raw_ShamelaY19
1444.html,0.81692,RAWrabicaRafed
12304.json,0.81598,RAWrabicaShamAY2
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.81586,RELEASE
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.81572,RELEASE
8589.json,0.81565,RAW_ABLibrary
591.json,0.81539,RAWrabicaShamAY1
1270ShihabDinAlusi.RuhMacani.Shamela0022835-ara1,0.81468,RELEASE
1342MahmudShukriAlusi.RawhMacani.ShamAY0034055-ara1,0.8143,RELEASE
1746.html,0.81427,RAWrabicaRafed
1393MuhammadTahirIbnCashurTunisi.TahrirWaTanwir.JK009362-ara1,0.8141,RELEASE
3192.html,0.81399,RAWrabicaRafed
1342MahmudShukriAlusi.RawhMacani.ShamAY0034055-ara1,0.81367,RELEASE
1793.html,0.81358,RAWrabicaRafed
1270ShihabDinAlusi.RuhMacani.JK000906-ara1,0.81353,RELEASE
3931.html,0.8135,RAWrabicaRafed
Shamela036571.txt,0.81316,raw_ShamelaY19
1332NurDinSalimi.BahjatAnwar.ShamIbadiyya0000146-ara1,0.81314,RELEASE
0362IbnBaraka.Jamic.ShamIbadiyya0000204-ara1,0.81302,RELEASE
1354RashidRida.Manar.Tafsir02103-ara1,0.81216,RELEASE
34055.json,0.81207,RAWrabicaShamAY2
9776.json,0.81177,RAWrabicaShamAY1
1803.html,0.81173,RAWrabicaRafed
1436.html,0.81126,RAWrabicaRafed
1332NurDinSalimi.Jawabat.ShamIbadiyya0000095-ara1,0.81125,RELEASE
7249.json,0.81123,RAWrabicaShamAY1
