unknown,TFIDF_cosine,libVar
1342MahmudShukriAlusi.MaDallaCalayhiQuran.JK001137-ara1,0.99956,RELEASE
1529.json,0.99736,RAWrabicaShamAY1
5551.json,0.99724,RAWrabicaShamAY1
5551.bok.json,0.99659,RAWrabicaSham19Y
Shamela036571.txt,0.83742,raw_ShamelaY19
591.json,0.83681,RAWrabicaShamAY1
3198.html,0.83503,RAWrabicaRafed
Shamela020643.txt,0.82908,raw_ShamelaY19
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.82739,RELEASE
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.82711,RELEASE
13607.bok.json,0.81995,RAWrabicaSham19Y
2679.html,0.81974,RAWrabicaRafed
32259.json,0.8178,RAWrabicaShamAY2
3193.html,0.81704,RAWrabicaRafed
750.json,0.81634,RAW_ABLibrary
8593.json,0.81386,RAW_ABLibrary
3192.html,0.81356,RAWrabicaRafed
0400IbnTahirMaqdisi.BadWaTarikh.Shamela0012318-ara1,0.81307,RELEASE
1436.html,0.81294,RAWrabicaRafed
8349.json,0.81254,RAW_ABLibrary
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Tafsir02102-ara1,0.81233,RELEASE
1803.html,0.81229,RAWrabicaRafed
12318.bok.json,0.81223,RAWrabicaSham19Y
2924.html,0.81156,RAWrabicaRafed
Shamela023631.txt,0.8113,raw_ShamelaY19
3457.html,0.81112,RAWrabicaRafed
3960.html,0.81109,RAWrabicaRafed
12318.json,0.81046,RAWrabicaShamAY2
3914.html,0.81017,RAWrabicaRafed
2404.html,0.80977,RAWrabicaRafed
3616.html,0.8091,RAWrabicaRafed
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.80874,RELEASE
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.80872,RELEASE
8597.json,0.80642,RAW_ABLibrary
8828.json,0.80597,RAW_ABLibrary
1238.json,0.80589,RAWrabicaShamAY1
1480.json,0.80577,RAWrabicaShamAY1
1444.html,0.80564,RAWrabicaRafed
8430.json,0.80564,RAW_ABLibrary
3902.html,0.80551,RAWrabicaRafed
3200.html,0.80502,RAWrabicaRafed
3150.html,0.80456,RAWrabicaRafed
1047.html,0.80448,RAWrabicaRafed
Shamela038000.txt,0.80446,raw_ShamelaY19
38000.bok.json,0.8043,RAWrabicaSham19Y
3197.html,0.80314,RAWrabicaRafed
0840IbnWazirYamani.ItharHaqq.JK000966-ara1,0.80308,RELEASE
3203.html,0.80299,RAWrabicaRafed
11071.bok.json,0.80295,RAWrabicaSham19Y
0840IbnWazirYamani.ItharHaqq.Shamela0005937-ara1,0.80289,RELEASE
0840IbnWazirYamani.ItharHaqq.JK000966-ara1,0.80283,RELEASE
3178.html,0.80257,RAWrabicaRafed
3496.html,0.80253,RAWrabicaRafed
0505Ghazali.MajmucatRasail.ShamAY0034797-ara1,0.80247,RELEASE
12304.json,0.80247,RAWrabicaShamAY2
3179.html,0.80191,RAWrabicaRafed
1354RashidRida.Manar.Tafsir02103-ara1,0.80141,RELEASE
1641.json,0.80139,RAWrabicaShamAY1
34797.json,0.80135,RAWrabicaShamAY3
0728IbnTaymiyya.BughyatMurtad.Shamela0011071-ara1,0.80125,RELEASE
11071.json,0.80111,RAWrabicaShamAY2
3931.html,0.80099,RAWrabicaRafed
3190.html,0.80084,RAWrabicaRafed
0728IbnTaymiyya.BughyatMurtad.JK000374-ara1,0.80083,RELEASE
8514.json,0.80048,RAW_ABLibrary
0728IbnTaymiyya.BughyatMurtad.JK000374-ara1,0.80043,RELEASE
0502RaghibIsbahani.Tafsir.Shamela0009231-ara1,0.79965,RELEASE
3437.html,0.79957,RAWrabicaRafed
8613.json,0.79931,RAWrabicaShamAY1
8681.json,0.79917,RAW_ABLibrary
11469.json,0.7991,RAWrabicaShamAY2
0421IbnMuhammadMarzuqi.AzminaWaAmkina.Shamela0011469-ara1,0.79909,RELEASE
3233.html,0.79882,RAWrabicaRafed
2906.html,0.79879,RAWrabicaRafed
1450.html,0.79873,RAWrabicaRafed
1440.html,0.79826,RAWrabicaRafed
004122.automARkdown,0.79825,RAW_Masaha
8733.json,0.79819,RAW_ABLibrary
1794.html,0.79818,RAWrabicaRafed
Shamela096180.txt,0.79813,raw_ShamelaY19
1412SayyidTabatabai.TafsirMizan.Shia002406Vols-ara1,0.79813,RELEASE
3196.html,0.79758,RAWrabicaRafed
2905.html,0.79746,RAWrabicaRafed
1412SayyidTabatabai.TafsirMizan.Shia002406Vols-ara1,0.79745,RELEASE
1406.html,0.7974,RAWrabicaRafed
8411.json,0.79738,RAW_ABLibrary
3798.html,0.79726,RAWrabicaRafed
23631.json,0.79719,RAWrabicaShamAY2
0543IbnCarabiIshbili.CawasimMinQawasim.Shamela0096180-ara1,0.79719,RELEASE
2929.html,0.79712,RAWrabicaRafed
470.json,0.79708,RAWrabicaShamAY1
000051Vols.automARkdown,0.79692,RAW_Masaha
1417.json,0.79684,RAWrabicaShamAY1
Shamela023590.txt,0.7968,raw_ShamelaY19
Shamela038085.txt,0.79675,raw_ShamelaY19
1804.html,0.79675,RAWrabicaRafed
1412SayyidTabatabai.TafsirMizan.Zaydiyya0000282-ara1,0.79669,RELEASE
63.html,0.79658,RAWrabicaRafed
2925.html,0.79621,RAWrabicaRafed
Shamela022835.txt,0.79602,raw_ShamelaY19
1232.json,0.79595,RAWrabicaShamAY1
1437.html,0.79589,RAWrabicaRafed
2934.html,0.79534,RAWrabicaRafed
1332NurDinSalimi.BahjatAnwar.ShamIbadiyya0000146-ara1,0.79522,RELEASE
752.json,0.79498,RAW_ABLibrary
1451.html,0.79482,RAWrabicaRafed
65.html,0.79477,RAWrabicaRafed
1660.html,0.79443,RAWrabicaRafed
3448.html,0.79431,RAWrabicaRafed
23590.bok.json,0.7942,RAWrabicaSham19Y
1447.html,0.79396,RAWrabicaRafed
2864.json,0.79371,RAWrabicaShamAY1
1412SayyidTabatabai.TafsirMizan.Tafsir04056-ara1,0.79367,RELEASE
0911Suyuti.MuctarakAqran.Shamela0001417-ara1,0.79356,RELEASE
0911Suyuti.MuctarakAqran.Shamela0001417-ara1,0.79354,RELEASE
38085.bok.json,0.79351,RAWrabicaSham19Y
9833.automARkdown,0.79342,RAW_Ghbook
1342MahmudShukriAlusi.RawhMacani.ShamAY0034055-ara1,0.79337,RELEASE
1342MahmudShukriAlusi.RawhMacani.ShamAY0034055-ara1,0.79295,RELEASE
1439.html,0.79291,RAWrabicaRafed
1270ShihabDinAlusi.RuhMacani.Shamela0022835-ara1,0.79268,RELEASE
1713.html,0.79259,RAWrabicaRafed
001352Vols.automARkdown,0.79255,RAW_Masaha
1658.html,0.79253,RAWrabicaRafed
1446.html,0.79249,RAWrabicaRafed
23590.json,0.79246,RAWrabicaShamAY2
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shamela0010549-ara1,0.7924,RELEASE
1793.html,0.79233,RAWrabicaRafed
34055.json,0.79224,RAWrabicaShamAY2
8836.json,0.79223,RAW_ABLibrary
2864.bok.json,0.79216,RAWrabicaSham19Y
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shamela0010549-ara1,0.79196,RELEASE
3538.html,0.79144,RAWrabicaRafed
1270ShihabDinAlusi.RuhMacani.JK000906-ara1,0.79133,RELEASE
8513.json,0.79101,RAW_ABLibrary
1431MuhammadSayyidTantawi.TafsirWasit.Tafsir07057-ara1,0.79094,RELEASE
2939.html,0.79077,RAWrabicaRafed
2416.html,0.79059,RAWrabicaRafed
0728IbnTaymiyya.BayanTalbisJahmiyya.Shamela0002864-ara1,0.79057,RELEASE
8335.json,0.79055,RAW_ABLibrary
37747.json,0.79051,RAWrabicaShamAY3
1431MuhammadSayyidTantawi.TafsirWasit.Tafsir07057-ara1,0.79051,RELEASE
0728IbnTaymiyya.BayanTalbisJahmiyya.Shamela0002864-ara1,0.79049,RELEASE
3615.html,0.79027,RAWrabicaRafed
1188.json,0.79013,RAWrabicaShamAY1
32216.json,0.79012,RAWrabicaShamAY2
35032.json,0.79001,RAWrabicaShamAY3
35275.json,0.78969,RAWrabicaShamAY3
3970.html,0.78918,RAWrabicaRafed
6454.json,0.7889,RAWrabicaShamAY1
1725.html,0.78889,RAWrabicaRafed
1429.json,0.78866,RAWrabicaShamAY1
2940.html,0.78857,RAWrabicaRafed
29.json,0.78831,RAWrabicaShamAY1
2930.html,0.78829,RAWrabicaRafed
Shamela037458.txt,0.78821,raw_ShamelaY19
3291.html,0.78809,RAWrabicaRafed
1448.html,0.78806,RAWrabicaRafed
3537.html,0.78803,RAWrabicaRafed
2907.html,0.78797,RAWrabicaRafed
3201.html,0.78785,RAWrabicaRafed
1054.html,0.78783,RAWrabicaRafed
2932.html,0.78769,RAWrabicaRafed
0982IbnMuhammadAbuSucud.IrshadCaqlSalim.Shia002686Vols-ara1,0.78763,RELEASE
67.html,0.78759,RAWrabicaRafed
3735.html,0.78756,RAWrabicaRafed
1332NurDinSalimi.MacarijAmal.ShamIbadiyya0000229-ara1,0.78753,RELEASE
1332NurDinSalimi.MacarijAmal.ShamIbadiyya0000975-ara1,0.78751,RELEASE
1332NurDinSalimi.MacarijAmal.ShamIbadiyya0000229-ara1,0.78739,RELEASE
1433.html,0.78702,RAWrabicaRafed
22835.json,0.78698,RAWrabicaShamAY2
1081MuhammadSalihMazandarani.SharhUsulKafi.Shia001174Vols-ara1,0.78676,RELEASE
876.html,0.78654,RAWrabicaRafed
8387.json,0.78652,RAW_ABLibrary
