unknown,TFIDF_cosine,libVar
34055.json,0.99932,RAWrabicaShamAY2
1270ShihabDinAlusi.RuhMacani.JK000906-ara1,0.99932,RELEASE
1270ShihabDinAlusi.RuhMacani.Shamela0022835-ara1,0.99676,RELEASE
Shamela022835.txt,0.9966,raw_ShamelaY19
3178.html,0.99122,RAWrabicaRafed
22835.json,0.9848,RAWrabicaShamAY2
1270ShihabDinAlusi.RuhMacani.Shia002702Vols-ara1,0.95825,RELEASE
1270ShihabDinAlusi.RuhMacani.Shia002702Vols-ara1,0.95737,RELEASE
1270ShihabDinAlusi.RuhMacani.Tafsir07052-ara1,0.95058,RELEASE
Shia002702Vols,0.92998,RAWrabica040000
2679.html,0.89631,RAWrabicaRafed
12304.json,0.89471,RAWrabicaShamAY2
1354RashidRida.Manar.Tafsir02103-ara1,0.89202,RELEASE
1332NurDinSalimi.MacarijAmal.ShamIbadiyya0000229-ara1,0.88791,RELEASE
3192.html,0.88747,RAWrabicaRafed
1332NurDinSalimi.MacarijAmal.ShamIbadiyya0000975-ara1,0.88716,RELEASE
1332NurDinSalimi.MacarijAmal.ShamIbadiyya0000229-ara1,0.88701,RELEASE
3179.html,0.88688,RAWrabicaRafed
Shamela021589.txt,0.88576,raw_ShamelaY19
0730NizamDinNaysaburi.GharaibQuran.Tafsir02022-ara1,0.88492,RELEASE
21589.json,0.88411,RAWrabicaShamAY2
Shamela023631.txt,0.88398,raw_ShamelaY19
8349.json,0.88389,RAW_ABLibrary
3200.html,0.88356,RAWrabicaRafed
Shamela020643.txt,0.88333,raw_ShamelaY19
3902.html,0.88318,RAWrabicaRafed
Sham30K0033988,0.88278,RAWrabica020000
Shamela037973.txt,0.88249,raw_ShamelaY19
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.88246,RELEASE
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.88173,RELEASE
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.88167,RELEASE
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.88107,RELEASE
1450AhmadBinHamadKhalili.JawahirTafasir.Tafsir06051-ara1,0.8808,RELEASE
8458.json,0.88056,RAW_ABLibrary
3960.html,0.88017,RAWrabicaRafed
1450AhmadBinHamadKhalili.JawahirTafasir.Tafsir06051-ara1,0.87998,RELEASE
1393MuhammadTahirIbnCashurTunisi.TahrirWaTanwir.Tafsir07054-ara1,0.87942,RELEASE
Shamela029882.txt,0.87871,raw_ShamelaY19
0911Suyuti.NawahidAbkar.Shamela0029882-ara1,0.87835,RELEASE
3493.html,0.87811,RAWrabicaRafed
1156IbnMuhammadAbuSacidKhadimi.BariqaMahmudiyya.JK011730-ara1,0.87767,RELEASE
Shamela021654.txt,0.87752,raw_ShamelaY19
0911Suyuti.NawahidAbkar.Shamela0029882-ara1,0.87742,RELEASE
23631.json,0.87742,RAWrabicaShamAY2
8597.json,0.87717,RAW_ABLibrary
1156IbnMuhammadAbuSacidKhadimi.BariqaMahmudiyya.Shamela0021654-ara1,0.87714,RELEASE
3437.html,0.87708,RAWrabicaRafed
