unknown,TFIDF_cosine,libVar
Shamela020643.txt,1.0,raw_ShamelaY19
1354RashidRida.Manar.Tafsir02103-ara1,0.9135,RELEASE
3931.html,0.91294,RAWrabicaRafed
Shamela023590.txt,0.91093,raw_ShamelaY19
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Tafsir02102-ara1,0.91036,RELEASE
23590.bok.json,0.90945,RAWrabicaSham19Y
23590.json,0.909,RAWrabicaShamAY2
12304.json,0.90819,RAWrabicaShamAY2
1431MuhammadSayyidTantawi.TafsirWasit.Tafsir07057-ara1,0.90453,RELEASE
1431MuhammadSayyidTantawi.TafsirWasit.Tafsir07057-ara1,0.90444,RELEASE
1658.html,0.90166,RAWrabicaRafed
Shamela023631.txt,0.90131,raw_ShamelaY19
3960.html,0.9012,RAWrabicaRafed
14579.bok.json,0.90004,RAWrabicaSham19Y
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.89985,RELEASE
38481.json,0.89984,RAWrabicaShamAY3
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.89976,RELEASE
1480.json,0.89892,RAWrabicaShamAY1
Shamela038000.txt,0.89852,raw_ShamelaY19
591.json,0.89827,RAWrabicaShamAY1
38000.bok.json,0.89793,RAWrabicaSham19Y
1713.html,0.89767,RAWrabicaRafed
23608.bok.json,0.89752,RAWrabicaSham19Y
23608.json,0.89664,RAWrabicaShamAY2
Shamela023608.txt,0.8966,raw_ShamelaY19
Shamela036571.txt,0.89647,raw_ShamelaY19
2679.html,0.89559,RAWrabicaRafed
1436.html,0.89477,RAWrabicaRafed
3150.html,0.89456,RAWrabicaRafed
29.json,0.89408,RAWrabicaShamAY1
8430.json,0.89377,RAW_ABLibrary
1404IbrahimQattan.TaysirTafsir.Tafsir09068-ara1,0.89349,RELEASE
1404IbrahimQattan.TaysirTafsir.Tafsir09068-ara1,0.89348,RELEASE
3902.html,0.89191,RAWrabicaRafed
1412SayyidTabatabai.TafsirMizan.Shia002406Vols-ara1,0.89173,RELEASE
000051Vols.automARkdown,0.89156,RAW_Masaha
8613.json,0.89138,RAWrabicaShamAY1
8349.json,0.89118,RAW_ABLibrary
1412SayyidTabatabai.TafsirMizan.Shia002406Vols-ara1,0.89085,RELEASE
1412SayyidTabatabai.TafsirMizan.Zaydiyya0000282-ara1,0.89083,RELEASE
1660.html,0.89062,RAWrabicaRafed
1803.html,0.89034,RAWrabicaRafed
23631.json,0.88968,RAWrabicaShamAY2
1444.html,0.88963,RAWrabicaRafed
1238.json,0.88925,RAWrabicaShamAY1
3616.html,0.88903,RAWrabicaRafed
3343.html,0.88807,RAWrabicaRafed
0840IbnWazirYamani.ItharHaqq.JK000966-ara1,0.88752,RELEASE
63.html,0.88737,RAWrabicaRafed
8597.json,0.88736,RAW_ABLibrary
0840IbnWazirYamani.ItharHaqq.Shamela0005937-ara1,0.8873,RELEASE
0840IbnWazirYamani.ItharHaqq.JK000966-ara1,0.88717,RELEASE
3233.html,0.88706,RAWrabicaRafed
Shamela038014.txt,0.887,raw_ShamelaY19
2905.html,0.88671,RAWrabicaRafed
1439.html,0.88648,RAWrabicaRafed
3178.html,0.88582,RAWrabicaRafed
3496.html,0.8855,RAWrabicaRafed
1641.json,0.88535,RAWrabicaShamAY1
1393MuhammadTahirIbnCashurTunisi.TahrirWaTanwir.Tafsir07054-ara1,0.88528,RELEASE
Shamela115098.txt,0.88524,raw_ShamelaY19
Shamela037458.txt,0.88522,raw_ShamelaY19
0502RaghibIsbahani.Tafsir.Shamela0009231-ara1,0.88493,RELEASE
1307Qannawji.FathBayan.Shamela0037458-ara1,0.88445,RELEASE
1437.html,0.88434,RAWrabicaRafed
1307Qannawji.FathBayan.Shamela0037458-ara1,0.88434,RELEASE
1412SayyidTabatabai.TafsirMizan.Tafsir04056-ara1,0.88422,RELEASE
34078.json,0.884,RAWrabicaShamAY2
115098.bok.json,0.8837,RAWrabicaSham19Y
3700.html,0.88334,RAWrabicaRafed
9833.automARkdown,0.88328,RAW_Ghbook
3699.html,0.88324,RAWrabicaRafed
31630.json,0.88301,RAWrabicaShamAY2
1202.json,0.883,RAWrabicaShamAY1
1659.html,0.88261,RAWrabicaRafed
Shamela022835.txt,0.8826,raw_ShamelaY19
1794.html,0.88243,RAWrabicaRafed
660.json,0.88234,RAWrabicaShamAY1
1489.json,0.88226,RAWrabicaShamAY1
2906.html,0.88217,RAWrabicaRafed
3166.html,0.88191,RAWrabicaRafed
1342MahmudShukriAlusi.RawhMacani.ShamAY0034055-ara1,0.88173,RELEASE
65.html,0.88162,RAWrabicaRafed
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.Shamela0011572-ara1,0.88126,RELEASE
1342MahmudShukriAlusi.RawhMacani.ShamAY0034055-ara1,0.88107,RELEASE
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.Shamela0011572-ara1,0.88106,RELEASE
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.JK006892-ara1,0.88053,RELEASE
2938.html,0.88049,RAWrabicaRafed
34055.json,0.88041,RAWrabicaShamAY2
0728IbnTaymiyya.FatawaKubra.ShamAY0034363-ara1,0.88038,RELEASE
2907.html,0.88038,RAWrabicaRafed
1270ShihabDinAlusi.RuhMacani.Shamela0022835-ara1,0.88034,RELEASE
1127IsmacilHaqqiBurusawi.RuhBayan.Tafsir03036-ara1,0.88022,RELEASE
3437.html,0.88012,RAWrabicaRafed
8506.json,0.88003,RAWrabicaShamAY1
1342MahmudShukriAlusi.GhayatAmani.Shamela0012034-ara1,0.87998,RELEASE
9690.json,0.87996,RAWrabicaShamAY1
1793.html,0.8798,RAWrabicaRafed
1440.html,0.87971,RAWrabicaRafed
1270ShihabDinAlusi.RuhMacani.JK000906-ara1,0.87966,RELEASE
Sham30K0002645,0.87963,RAWrabica005000
37747.json,0.87955,RAWrabicaShamAY3
42.json,0.87929,RAWrabicaShamAY1
1678.html,0.8792,RAWrabicaRafed
1342MahmudShukriAlusi.GhayatAmani.Shamela0012034-ara1,0.87894,RELEASE
1429.json,0.8789,RAWrabicaShamAY1
8789.json,0.8788,RAW_ABLibrary
1677.html,0.87865,RAWrabicaRafed
1393MuhammadTahirIbnCashurTunisi.TahrirWaTanwir.JK009362-ara1,0.87844,RELEASE
1406.html,0.87835,RAWrabicaRafed
