unknown,TFIDF_cosine,libVar
Shamela037477.txt,1.0,raw_ShamelaY19
685.json,0.99454,RAWrabicaShamAY1
150964.bok.json,0.72,RAWrabicaSham19Y
1348AhmadTaymurBasha.MucjamTaymurKabir.Sham19Y0150964-ara1,0.68588,RELEASE
1348AhmadTaymurBasha.MucjamTaymurKabir.Sham19Y0150964-ara1,0.68292,RELEASE
Shamela150964.txt,0.67843,raw_ShamelaY19
1773.html,0.6258,RAWrabicaRafed
9979.json,0.61998,RAW_ABLibrary
9986.json,0.6197,RAWrabicaShamAY1
9986.bok.json,0.61931,RAWrabicaSham19Y
8169.automARkdown,0.618,RAW_Ghbook
1464.html,0.61698,RAWrabicaRafed
34693.json,0.61002,RAWrabicaShamAY3
7914.json,0.6023,RAW_ABLibrary
002513Vols.automARkdown,0.60222,RAW_Masaha
1205MurtadaZabidi.TajCarus.Shia003965Vols-ara1,0.59842,RELEASE
9787.json,0.59636,RAW_ABLibrary
1348AhmadTaymurBasha.TashihLisanCarab.Sham19Y0007063-ara1,0.59598,RELEASE
9218.json,0.59557,RAW_ABLibrary
7945.json,0.59482,RAW_ABLibrary
1205MurtadaZabidi.TajCarus.ShamAY0034693-ara1,0.59374,RELEASE
1205MurtadaZabidi.TajCarus.Shia003965Vols-ara1,0.59364,RELEASE
1348AhmadTaymurBasha.TashihLisanCarab.Sham19Y0007063-ara1,0.59286,RELEASE
397.html,0.59193,RAWrabicaRafed
7063.json,0.591,RAWrabicaShamAY1
Shia003965Vols_a,0.59072,RAWrabica045000
2074.html,0.59069,RAWrabicaRafed
38986.json,0.59037,RAWrabicaShamAY3
994.json,0.58948,RAW_ABLibrary
1170IbnTayyibFasi.SharhKifaya.Sham19Y0032194-ara1,0.58932,RELEASE
1366.html,0.58926,RAWrabicaRafed
32194.bok.json,0.58795,RAWrabicaSham19Y
1851.html,0.58767,RAWrabicaRafed
1068.json,0.58734,RAWrabicaShamAY1
1170IbnTayyibFasi.SharhKifaya.Sham19Y0032194-ara1,0.5873,RELEASE
97799.bok.json,0.5872,RAWrabicaSham19Y
Shamela032194.txt,0.58698,raw_ShamelaY19
3576.html,0.58625,RAWrabicaRafed
2058.html,0.58544,RAWrabicaRafed
1991.html,0.58478,RAWrabicaRafed
32171.json,0.58447,RAWrabicaShamAY2
38983.json,0.58288,RAWrabicaShamAY3
9033.json,0.58284,RAW_ABLibrary
1119IbnMacsum.TirazAwwal.ShamAY0034694-ara1,0.58104,RELEASE
2068.html,0.58071,RAWrabicaRafed
9361.json,0.58037,RAW_ABLibrary
2347.html,0.5803,RAWrabicaRafed
1952.html,0.58006,RAWrabicaRafed
