unknown,TFIDF_cosine,libVar
7063.json,0.99953,RAWrabicaShamAY1
0866MuhammadIbnSayyidHasan.RamuzCalaSihah.Shamela0007051-ara1,0.7459,RELEASE
0866MuhammadIbnSayyidHasan.RamuzCalaSihah.JK001215-ara1,0.74452,RELEASE
0866MuhammadIbnSayyidHasan.RamuzCalaSihah.JK001215-ara1,0.74435,RELEASE
7051.bok.json,0.73296,RAWrabicaSham19Y
7051.json,0.73221,RAWrabicaShamAY1
397.html,0.71802,RAWrabicaRafed
1119IbnMacsum.TirazAwwal.ShamAY0034694-ara1,0.71797,RELEASE
7945.json,0.71731,RAW_ABLibrary
1119IbnMacsum.TirazAwwal.ShamAY0034694-ara1,0.71639,RELEASE
34694.json,0.7012,RAWrabicaShamAY3
2072.html,0.68782,RAWrabicaRafed
12017.bok.json,0.68565,RAWrabicaSham19Y
9218.json,0.68371,RAW_ABLibrary
12017.json,0.68091,RAWrabicaShamAY2
1348AhmadTaymurBasha.MucjamTaymurKabir.Sham19Y0150964-ara1,0.67209,RELEASE
Shamela150964.txt,0.66987,raw_ShamelaY19
1348AhmadTaymurBasha.MucjamTaymurKabir.Sham19Y0150964-ara1,0.6688,RELEASE
9986.json,0.66726,RAWrabicaShamAY1
9986.bok.json,0.66533,RAWrabicaSham19Y
1854.html,0.66487,RAWrabicaRafed
Shamela029600.txt,0.66409,raw_ShamelaY19
1464.html,0.6629,RAWrabicaRafed
2322.html,0.66251,RAWrabicaRafed
38970.json,0.66116,RAWrabicaShamAY3
002513Vols.automARkdown,0.66036,RAW_Masaha
1069ShihabDinKhafaji.SharhDurratGhawwas.Sham19Y0029600-ara1,0.65939,RELEASE
150964.bok.json,0.65684,RAWrabicaSham19Y
1069ShihabDinKhafaji.SharhDurratGhawwas.Sham19Y0029600-ara1,0.65514,RELEASE
9219.json,0.65437,RAW_ABLibrary
38986.json,0.65434,RAWrabicaShamAY3
2081.html,0.65258,RAWrabicaRafed
9979.json,0.65252,RAW_ABLibrary
1068.json,0.65177,RAWrabicaShamAY1
34693.json,0.65084,RAWrabicaShamAY3
2074.html,0.64957,RAWrabicaRafed
9080.json,0.6483,RAW_ABLibrary
2333.html,0.64793,RAWrabicaRafed
9787.json,0.64709,RAW_ABLibrary
2679.html,0.64688,RAWrabicaRafed
3726.html,0.64666,RAWrabicaRafed
1205MurtadaZabidi.TajCarus.Shia003965Vols-ara1,0.64659,RELEASE
3304.html,0.64622,RAWrabicaRafed
994.json,0.64384,RAW_ABLibrary
Shamela150601.txt,0.64364,raw_ShamelaY19
1093CabdQadirBaghdadi.KhizanatAdab.Shia004649Vols-ara1,0.64342,RELEASE
33782.json,0.64334,RAWrabicaShamAY2
7030.json,0.64314,RAWrabicaShamAY1
12732.json,0.64311,RAWrabicaShamAY2
1205MurtadaZabidi.TajCarus.Shia003965Vols-ara1,0.64281,RELEASE
1991.html,0.64257,RAWrabicaRafed
1234.html,0.64225,RAWrabicaRafed
991.json,0.64205,RAW_ABLibrary
1205MurtadaZabidi.TajCarus.ShamAY0034693-ara1,0.64186,RELEASE
9033.json,0.64157,RAW_ABLibrary
7922.json,0.64136,RAW_ABLibrary
2267.html,0.64086,RAWrabicaRafed
23785.json,0.64076,RAWrabicaShamAY2
1952.html,0.64069,RAWrabicaRafed
8403.json,0.64046,RAW_ABLibrary
1093CabdQadirBaghdadi.KhizanatAdab.ShamAY0033782-ara1,0.64043,RELEASE
0449AbuCalaMacarri.RisalatMalaika.Sham19Y0018276-ara1,0.64016,RELEASE
8402.json,0.64015,RAW_ABLibrary
336.html,0.63993,RAWrabicaRafed
32338.json,0.6399,RAWrabicaShamAY2
1304AhmadFarisShidyaq.JasusCalaQamus.Sham19Y0003742-ara1,0.63948,RELEASE
1093CabdQadirBaghdadi.KhizanatAdab.Shamela0012732-ara1,0.63907,RELEASE
1093CabdQadirBaghdadi.KhizanatAdab.Shia004649Vols-ara1,0.63901,RELEASE
1093CabdQadirBaghdadi.KhizanatAdab.JK007143-ara1,0.63898,RELEASE
1366.html,0.63891,RAWrabicaRafed
2096.html,0.63822,RAWrabicaRafed
8430.json,0.6382,RAW_ABLibrary
Shamela029613.txt,0.63807,raw_ShamelaY19
8418.json,0.63785,RAW_ABLibrary
2077.html,0.6378,RAWrabicaRafed
32114.json,0.63734,RAWrabicaShamAY2
1056.json,0.63727,RAWrabicaShamAY1
1773.html,0.63723,RAWrabicaRafed
Shamela032194.txt,0.63683,raw_ShamelaY19
2415.html,0.63662,RAWrabicaRafed
992.json,0.63624,RAW_ABLibrary
993.json,0.63614,RAW_ABLibrary
1205MurtadaZabidi.TajCarus.JK007140-ara1,0.63597,RELEASE
1205MurtadaZabidi.TajCarus.Shamela0007030-ara1,0.63595,RELEASE
6920.json,0.63575,RAWrabicaShamAY1
2347.html,0.63566,RAWrabicaRafed
38842.json,0.63564,RAWrabicaShamAY3
0321IbnDuraydAzdi.Malahin.ShamIbadiyya0000882-ara1,0.6356,RELEASE
1264.html,0.63556,RAWrabicaRafed
1304AhmadFarisShidyaq.JasusCalaQamus.Sham19Y0003742-ara1,0.63538,RELEASE
2087.html,0.63531,RAWrabicaRafed
12733.json,0.63513,RAWrabicaShamAY2
3162.html,0.63505,RAWrabicaRafed
3183.html,0.63478,RAWrabicaRafed
Shamela145410.txt,0.63436,raw_ShamelaY19
3150.html,0.63386,RAWrabicaRafed
3151.html,0.63341,RAWrabicaRafed
Shamela021660.txt,0.63334,raw_ShamelaY19
38983.json,0.63307,RAWrabicaShamAY3
32521.json,0.63284,RAWrabicaShamAY2
9361.json,0.63282,RAW_ABLibrary
32194.bok.json,0.63275,RAWrabicaSham19Y
0516IbnCaliHariri.DurratGhawwas.JK001016-ara1,0.63266,RELEASE
7401.json,0.63263,RAW_ABLibrary
8313.json,0.63242,RAW_ABLibrary
38974.json,0.63229,RAWrabicaShamAY3
38979.json,0.63229,RAWrabicaShamAY3
1170IbnTayyibFasi.SharhKifaya.Sham19Y0032194-ara1,0.63216,RELEASE
9337.json,0.63205,RAW_ABLibrary
9300.json,0.63173,RAW_ABLibrary
8308.json,0.63141,RAW_ABLibrary
