unknown,TFIDF_cosine,libVar
22918.json,0.99597,RAWrabicaShamAY2
Shamela022918.txt,0.99585,raw_ShamelaY19
Sham30K0044273,0.99583,RAWrabica035000
Sham30K0033739,0.99577,RAWrabica020000
Sham30K0022918,0.99556,RAWrabica020000
Sham30K0032951,0.99524,RAWrabica020000
JK006473,0.99157,RAWrabica005000
Sham30K0044858,0.98924,RAWrabica035000
1225IbnNasirNajdi.FawakihCidhab.JK010001-ara1,0.97931,RELEASE
1225IbnNasirNajdi.FawakihCidhab.JK010001-ara1,0.97925,RELEASE
JK010001,0.97901,RAWrabica005000
Shamela0022918,0.95595,RAWrabica040000
Shia002733Vols,0.94803,RAWrabica040000
12059.json,0.88476,RAW_ABLibrary
12058.json,0.8846,RAW_ABLibrary
3907.html,0.88417,RAWrabicaRafed
12061.json,0.88249,RAW_ABLibrary
3902.html,0.88238,RAWrabicaRafed
3912.html,0.88227,RAWrabicaRafed
23631.json,0.87962,RAWrabicaShamAY2
Shamela133367.txt,0.87897,raw_ShamelaY19
11728.json,0.87888,RAW_ABLibrary
Sham30K0023631,0.87805,RAWrabica020000
Shamela023599.txt,0.8778,raw_ShamelaY19
0543IbnCarabiIshbili.NasikhWaMansukh.Sham19Y0133367-ara1,0.87772,RELEASE
3146.html,0.87722,RAWrabicaRafed
3909.html,0.87679,RAWrabicaRafed
12060.json,0.87625,RAW_ABLibrary
3218.html,0.87462,RAWrabicaRafed
Shamela023582.txt,0.87372,raw_ShamelaY19
23582.json,0.87371,RAWrabicaShamAY2
Shamela133357.txt,0.87276,raw_ShamelaY19
12253.json,0.87228,RAW_ABLibrary
0597IbnFarasAndalusi.AhkamQuran.Sham19Y0133357-ara1,0.87194,RELEASE
Sham30K0038360,0.87189,RAWrabica025000
Shamela023631.txt,0.87184,raw_ShamelaY19
133357.bok.json,0.87181,RAWrabicaSham19Y
1348.json,0.87171,RAW_ABLibrary
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.87164,RELEASE
0504IbnMuhammadCimadDinTabari.AhkamQuran.Shamela0023582-ara1,0.87158,RELEASE
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.87142,RELEASE
0597IbnFarasAndalusi.AhkamQuran.Sham19Y0133357-ara1,0.8711,RELEASE
3221.html,0.87087,RAWrabicaRafed
1332NurDinSalimi.SharhJamicSahih.ShamIbadiyya0000433-ara1,0.86979,RELEASE
0671AbuCabdAllahQurtubi.JamicLiAhkamQuran.Tafsir01005-ara1,0.86959,RELEASE
1332NurDinSalimi.SharhJamicSahih.ShamIbadiyya0000433-ara1,0.8695,RELEASE
Sham30K0036810,0.86845,RAWrabica025000
Shamela009759.txt,0.8684,raw_ShamelaY19
1987.html,0.86827,RAWrabicaRafed
3914.html,0.86788,RAWrabicaRafed
8913.json,0.86775,RAW_ABLibrary
8488.json,0.86771,RAWrabicaShamAY1
9994.json,0.86769,RAWrabicaShamAY1
660.json,0.86743,RAWrabicaShamAY1
Shamela133359.txt,0.86731,raw_ShamelaY19
Shamela148870.txt,0.8673,raw_ShamelaY19
Shamela014827.txt,0.86714,raw_ShamelaY19
Sham30K0008652,0.86705,RAWrabica015000
Sham30K0002208_e,0.86705,RAWrabica005000
0852IbnHajarCasqalani.FathBari.Shia001792Vols-ara1,0.86681,RELEASE
0429AbuMansurThacalibi.Jawahir.ShamAY0034066-ara1,0.86666,RELEASE
23599.json,0.86654,RAWrabicaShamAY2
Shamela037458.txt,0.86632,raw_ShamelaY19
9994.bok.json,0.86631,RAWrabicaSham19Y
Shamela150963.txt,0.8663,raw_ShamelaY19
Shamela017745.txt,0.86628,raw_ShamelaY19
1307Qannawji.NaylMaram.Shamela0009759-ara1,0.86606,RELEASE
Shamela014561.txt,0.86591,raw_ShamelaY19
12062.json,0.86565,RAW_ABLibrary
