unknown,TFIDF_cosine,libVar
Sham30K0042922,1.0,RAWrabica030000
Sham30K0036917,0.99997,RAWrabica025000
1408CumarKahhala.MucjamMuallifin.Sham30K0036917-ara1,0.99996,RELEASE
1408CumarKahhala.MucjamMuallifin.Sham30K0035638-ara1,0.99995,RELEASE
Sham30K0035638,0.99995,RAWrabica025000
38195.json,0.99575,RAWrabicaShamAY3
3901.json,0.99561,RAWrabicaShamAY1
Sham30K0003901,0.99526,RAWrabica010000
1408CumarKahhala.MucjamMuallifin.Sham30K0003901-ara1,0.9951,RELEASE
1408CumarKahhala.MucjamMuallifin.Shia003408Vols-ara1,0.99399,RELEASE
1408CumarKahhala.MucjamMuallifin.Shamela0003901-ara1,0.99372,RELEASE
3901.bok.json,0.99341,RAWrabicaSham19Y
002837Vols.automARkdown,0.99255,RAW_Masaha
Shamela003901.txt,0.99218,raw_ShamelaY19
Shia003408Vols,0.96802,RAWrabica045000
Shamela0003901,0.96668,RAWrabica035000
Shia003396Vols,0.60354,RAWrabica045000
12286.bok.json,0.59997,RAWrabicaSham19Y
1396KhayrDinZirikli.Aclam.Sham30K0044666-ara1,0.59885,RELEASE
Sham30K0044666,0.59882,RAWrabica035000
1396KhayrDinZirikli.Aclam.Sham30K0032952-ara1,0.59695,RELEASE
12286.json,0.5954,RAWrabicaShamAY2
1396KhayrDinZirikli.Aclam.Sham30K0012286-ara1,0.59409,RELEASE
Sham30K0012286,0.59212,RAWrabica015000
1396KhayrDinZirikli.Aclam.Shamela0012286-ara1,0.59097,RELEASE
Sham30K0032952,0.59095,RAWrabica020000
1396KhayrDinZirikli.Aclam.Shia003396Vols-ara1,0.59038,RELEASE
Shamela012286.txt,0.58692,raw_ShamelaY19
Shamela0012286,0.56695,RAWrabica040000
Shia003362Vols,0.55987,RAWrabica045000
13313.json,0.55168,RAW_ABLibrary
Shamela013846.txt,0.55012,raw_ShamelaY19
Shamela0003003,0.54973,RAWrabica035000
1339IsmacilBashaBaghdadi.HadiyatCarifin.Shia003362Vols-ara1,0.54826,RELEASE
Shamela003003.txt,0.54793,raw_ShamelaY19
1339IsmacilBashaBaghdadi.HadiyatCarifin.JK001418-ara1,0.54729,RELEASE
12853.json,0.5457,RAW_ABLibrary
Sham30K0036466,0.54549,RAWrabica025000
Sham30K0034375,0.54522,RAWrabica025000
13296.json,0.54493,RAW_ABLibrary
1339IsmacilBashaBaghdadi.HadiyatCarifin.Shamela0003003-ara1,0.54441,RELEASE
Shamela009984.txt,0.54416,raw_ShamelaY19
Sham30K0003003,0.54365,RAWrabica010000
3003.json,0.54244,RAWrabicaShamAY1
Sham30K0035848,0.54169,RAWrabica025000
JK001418,0.54167,RAWrabica005000
1339IsmacilBashaBaghdadi.HadiyatCarifin.Zaydiyya0000247-ara1,0.54117,RELEASE
12869.json,0.53996,RAW_ABLibrary
130964.bok.json,0.53726,RAWrabicaSham19Y
Sham30K0041591,0.53491,RAWrabica030000
0817MajdDinFiruzabadi.BulghaFiTarajim.Shamela0009984-ara1,0.53324,RELEASE
13162.json,0.53306,RAW_ABLibrary
830.json,0.52845,RAW_ABLibrary
1025IbnQadiMaknasi.DurratHijal.Sham19Y0132965-ara1,0.52839,RELEASE
Shamela132965.txt,0.52786,raw_ShamelaY19
Shamela145334.txt,0.52766,raw_ShamelaY19
0845Maqrizi.Muqaffa.Shamela19Y0145334-ara1,0.52745,RELEASE
Shamela002114.txt,0.52538,raw_ShamelaY19
1450MawsucaShicriya.MucjamShucara.Shamela0002114-ara1,0.52521,RELEASE
13191.json,0.5246,RAW_ABLibrary
2114.json,0.52365,RAWrabicaShamAY1
13323.json,0.52278,RAW_ABLibrary
Shamela006674.txt,0.52276,raw_ShamelaY19
75.json,0.52272,RAW_ABLibrary
6674.bok.json,0.52183,RAWrabicaSham19Y
12857.json,0.52156,RAW_ABLibrary
Sham30K0002114,0.5212,RAWrabica005000
Sham30K0036395,0.52087,RAWrabica025000
Sham30K0005801,0.52026,RAWrabica010000
Sham30K0004306,0.51999,RAWrabica010000
0852IbnHajarCasqalani.DurarKamina.JK001301-ara1,0.51997,RELEASE
12898.json,0.51981,RAW_ABLibrary
0852IbnHajarCasqalani.DurarKamina.Shamela0006674-ara1,0.51971,RELEASE
12967.json,0.51931,RAW_ABLibrary
37633.json,0.51902,RAWrabicaShamAY3
38015.json,0.51895,RAWrabicaShamAY3
6674.json,0.51885,RAWrabicaShamAY1
Sham30K0006674,0.51751,RAWrabica010000
12899.json,0.51742,RAW_ABLibrary
Shamela027084.txt,0.5163,raw_ShamelaY19
JK001301,0.51572,RAWrabica005000
