unknown,TFIDF_cosine,libVar
197.json,1.0,RAWrabicaShamAY1
Shamela029742.txt,0.99843,raw_ShamelaY19
Sham30K0002670,0.99839,RAWrabica005000
Shamela0029742,0.98265,RAWrabica040000
Shamela029879.txt,0.89989,raw_ShamelaY19
Sham30K0002679,0.89964,RAWrabica005000
204.json,0.89445,RAWrabicaShamAY1
1422MuqbilWadici.TarajimRijal.Shamela0029879-ara1,0.89406,RELEASE
1422MuqbilWadici.TarajimRijal.Shamela0029879-ara1,0.89348,RELEASE
Shamela0029879,0.87686,RAWrabica040000
Shamela009584.txt,0.8548,raw_ShamelaY19
0629IbnNuqta.TaqyidLiMacrifa.Shamela0009584-ara1,0.85446,RELEASE
0629IbnNuqta.TaqyidLiMacrifa.Shamela0009584-ara1,0.85264,RELEASE
JK000688,0.85205,RAWrabica005000
Sham30K0033356,0.85121,RAWrabica020000
0629IbnNuqta.TaqyidLiMacrifa.JK000688-ara1,0.85052,RELEASE
2890.html,0.84881,RAWrabicaRafed
Sham30K0041489,0.848,RAWrabica030000
Shamela026487.txt,0.84703,raw_ShamelaY19
0656IbnMuhammadSadrDinNaysaburi.ArbacunaCanArbacina.Shamela0026487-ara1,0.84588,RELEASE
0656IbnMuhammadSadrDinNaysaburi.ArbacunaCanArbacina.Shamela0026487-ara1,0.84331,RELEASE
Sham30K0026487,0.84308,RAWrabica020000
Sham30K0002009,0.84288,RAWrabica005000
Shamela005924.txt,0.84269,raw_ShamelaY19
Sham30K0045603,0.84266,RAWrabica035000
JK000952,0.84248,RAWrabica005000
Shamela122397.txt,0.84233,raw_ShamelaY19
5924.json,0.84178,RAWrabicaShamAY1
Sham30K0042343,0.84133,RAWrabica030000
34668.json,0.84126,RAWrabicaShamAY3
30646.json,0.84102,RAWrabicaShamAY2
0470IbnMuhammadIbnMandahIsbahani.Mustakhraj.Sham19Y0122397-ara1,0.8409,RELEASE
Shamela030646.txt,0.84084,raw_ShamelaY19
2330.html,0.84061,RAWrabicaRafed
13506.json,0.84024,RAW_ABLibrary
Shamela026726.txt,0.84024,raw_ShamelaY19
