unknown,TFIDF_cosine,libVar
189.html,0.88088,RAWrabicaRafed
1450Milani.TashyidMurajacat.Shia004266Vols-ara1,0.87315,RELEASE
1339ShaykhSharicaIsbahani.QawlSurah.Shia001561-ara1,0.87263,RELEASE
1450Milani.TashyidMurajacat.Shia004266Vols-ara1,0.87253,RELEASE
1339ShaykhSharicaIsbahani.QawlSurah.Shia001561-ara1,0.87245,RELEASE
571.html,0.87165,RAWrabicaRafed
3573.html,0.86932,RAWrabicaRafed
1279.json,0.86606,RAW_ABLibrary
25800.json,0.86566,RAWrabicaShamAY2
Sham30K0025800,0.86252,RAWrabica020000
1450Milani.SharhMinhajKaramaLiHilli.Shia004014Vols-ara1,0.86222,RELEASE
1450Milani.SharhMinhajKaramaLiHilli.Shia004014Vols-ara1,0.862,RELEASE
0544QadiCiyad.IkmalMuclim.Sham19Y0122406-ara1,0.86196,RELEASE
193.html,0.8613,RAWrabicaRafed
Shamela122406.txt,0.86092,raw_ShamelaY19
0852IbnHajarCasqalani.TalkhisHabir.Shamela0001581-ara1,0.85895,RELEASE
Sham30K0037265_c,0.85881,RAWrabica025000
1257.json,0.85857,RAW_ABLibrary
Sham30K0037265_b,0.85775,RAWrabica025000
Shamela001581.txt,0.8575,raw_ShamelaY19
Shamela001416.txt,0.85689,raw_ShamelaY19
Shamela005978.txt,0.85617,raw_ShamelaY19
3300.html,0.85599,RAWrabicaRafed
000274Vols.automARkdown,0.85585,RAW_Masaha
Sham30K0045315,0.85551,RAWrabica035000
35281.json,0.85543,RAWrabicaShamAY3
34130.json,0.85541,RAWrabicaShamAY2
Shamela023163.txt,0.85521,raw_ShamelaY19
JK000991,0.85504,RAWrabica005000
5978.bok.json,0.85497,RAWrabicaSham19Y
Sham30K0002208_a,0.85493,RAWrabica005000
0794BadrDinZarkashi.NukatCalaMuqaddimatIbnSalah.JK000991-ara1,0.85485,RELEASE
000407.automARkdown,0.85483,RAW_Masaha
3188.html,0.85472,RAWrabicaRafed
Sham30K0034567,0.85458,RAWrabica025000
5978.json,0.8545,RAWrabicaShamAY1
0794BadrDinZarkashi.NukatCalaMuqaddimatIbnSalah.Shamela0005978-ara1,0.8545,RELEASE
0794BadrDinZarkashi.NukatCalaMuqaddimatIbnSalah.JK000991-ara1,0.85447,RELEASE
Sham30K0002509,0.85426,RAWrabica005000
Sham30K0000297,0.854,RAWrabica005000
0923AhmadQastallani.IrshadSari.Shamela0021715-ara1,0.85394,RELEASE
Sham30K0004702,0.85373,RAWrabica010000
37297.json,0.85371,RAWrabicaShamAY3
23163.json,0.8537,RAWrabicaShamAY2
0923AhmadQastallani.IrshadSari.Shamela0021715-ara1,0.85357,RELEASE
Shamela021715.txt,0.85324,raw_ShamelaY19
Sham30K0005978,0.85307,RAWrabica010000
435.html,0.85306,RAWrabicaRafed
Sham30K0044683_b,0.85298,RAWrabica035000
938.json,0.85289,RAWrabicaShamAY1
Sham30K0023163,0.85288,RAWrabica020000
Shamela012762.txt,0.85269,raw_ShamelaY19
0804IbnMulaqqin.MuqnicFiCulumHadith.JK000996-ara1,0.85226,RELEASE
Shamela009442.txt,0.85203,raw_ShamelaY19
JK000996,0.85201,RAWrabica005000
Sham30K0044716_a,0.85195,RAWrabica035000
812.json,0.85194,RAWrabicaShamAY1
12762.bok.json,0.85186,RAWrabicaSham19Y
Sham30K0045559,0.85178,RAWrabica035000
9442.bok.json,0.85172,RAWrabicaSham19Y
0804IbnMulaqqin.MuqnicFiCulumHadith.JK000996-ara1,0.85159,RELEASE
Shamela005976.txt,0.85157,raw_ShamelaY19
9442.json,0.85157,RAWrabicaShamAY1
Shamela013699.txt,0.85156,raw_ShamelaY19
Sham30K0046260,0.85151,RAWrabica035000
8356.json,0.85142,RAW_ABLibrary
5976.bok.json,0.85111,RAWrabicaSham19Y
0806IbnHusaynZaynDinCiraqi.Taqyid.JK000985-ara1,0.85109,RELEASE
0804IbnMulaqqin.MuqnicFiCulumHadith.Shamela0005976-ara1,0.85102,RELEASE
118.json,0.85099,RAW_ABLibrary
JK000985,0.85094,RAWrabica005000
Sham30K0000038,0.85089,RAWrabica005000
31959.json,0.85082,RAWrabicaShamAY2
12762.json,0.85076,RAWrabicaShamAY2
5976.json,0.85062,RAWrabicaShamAY1
488.html,0.8506,RAWrabicaRafed
40.html,0.85032,RAWrabicaRafed
Shamela004382.txt,0.85028,raw_ShamelaY19
Sham30K0002503,0.85027,RAWrabica005000
0806IbnHusaynZaynDinCiraqi.Taqyid.JK000985-ara1,0.85019,RELEASE
1375AhmadIbnHasanQasimi.CilmWasim.Zaydiyya0000046-ara1,0.85003,RELEASE
1290.json,0.84994,RAW_ABLibrary
Sham30K0045286,0.84968,RAWrabica035000
1375AhmadIbnHasanQasimi.CilmWasim.Zaydiyya0000046-ara1,0.84966,RELEASE
000658Vols.automARkdown,0.84952,RAW_Masaha
Sham30K0014537,0.8495,RAWrabica015000
2767.html,0.84944,RAWrabicaRafed
37298.json,0.84925,RAWrabicaShamAY3
Sham30K0033655,0.84911,RAWrabica020000
Sham30K0005976,0.849,RAWrabica010000
37300.json,0.84899,RAWrabicaShamAY3
