unknown,TFIDF_cosine,libVar
Sham30K0033699,0.99922,RAWrabica020000
228.html,0.73519,RAWrabicaRafed
001648.automARkdown,0.7327,RAW_Masaha
8361.json,0.72523,RAW_ABLibrary
1371MuhsinAminCamili.AbuHusaynZaydShahid.Zaydiyya0000195-ara1,0.72151,RELEASE
1371MuhsinAminCamili.AbuHusaynZaydShahid.Zaydiyya0000195-ara1,0.7189,RELEASE
202.html,0.71613,RAWrabicaRafed
14625.automARkdown,0.71222,RAW_Ghbook
1450AhmadMuhammadHadi.Tarikh.Zaydiyya0000211-ara1,0.70792,RELEASE
0122ZaydIbnCali.MusnadZayd.Zaydiyya0000052-ara1,0.70784,RELEASE
1450AhmadMuhammadHadi.Tarikh.Zaydiyya0000211-ara1,0.70684,RELEASE
001840.automARkdown,0.70127,RAW_Masaha
002874.automARkdown,0.70033,RAW_Masaha
7503.json,0.6999,RAW_ABLibrary
3659.html,0.69942,RAWrabicaRafed
7422.json,0.69907,RAW_ABLibrary
001854.automARkdown,0.69844,RAW_Masaha
0220AbuJacfarIskafi.MicyarWaMuwazana.Shia001900-ara1,0.69766,RELEASE
613.html,0.69701,RAWrabicaRafed
689.html,0.69692,RAWrabicaRafed
002915Vols.automARkdown,0.69446,RAW_Masaha
3577.html,0.69324,RAWrabicaRafed
10222.json,0.69304,RAW_ABLibrary
7423.json,0.69268,RAW_ABLibrary
1111IbnNasirMuhalla.MatmahAmal.Zaydiyya0000035-ara1,0.69252,RELEASE
919.json,0.69178,RAW_ABLibrary
1111IbnNasirMuhalla.MatmahAmal.Zaydiyya0000035-ara1,0.69138,RELEASE
0855IbnSabbaghMakki.FusulMuhimma.Shia003727Vols-ara1,0.69086,RELEASE
001855Vols.automARkdown,0.69057,RAW_Masaha
8344.automARkdown,0.69057,RAW_Ghbook
11318.json,0.69001,RAW_ABLibrary
0855IbnSabbaghMakki.FusulMuhimma.Shia003727Vols-ara1,0.68998,RELEASE
7909.json,0.68861,RAW_ABLibrary
7649.json,0.68841,RAW_ABLibrary
3897.html,0.68806,RAWrabicaRafed
002351.automARkdown,0.68789,RAW_Masaha
8590.json,0.68757,RAW_ABLibrary
000446.automARkdown,0.68695,RAW_Masaha
1116.json,0.68674,RAW_ABLibrary
7908.json,0.68627,RAW_ABLibrary
1085.json,0.68621,RAW_ABLibrary
66.html,0.68606,RAWrabicaRafed
000076.automARkdown,0.68565,RAW_Masaha
Shia000811,0.68564,RAWrabica040000
2034.json,0.68556,RAWrabicaShamAY1
001940.automARkdown,0.68553,RAW_Masaha
000609Vols.automARkdown,0.68534,RAW_Masaha
002883Vols.automARkdown,0.68534,RAW_Masaha
000670.automARkdown,0.6853,RAW_Masaha
Shamela002034.txt,0.68519,raw_ShamelaY19
1120CaliKhanMadani.DarajatRafica.Shia002958-ara1,0.68469,RELEASE
1120CaliKhanMadani.DarajatRafica.Shia002958-ara1,0.68403,RELEASE
609.html,0.68385,RAWrabicaRafed
Sham30K0002034,0.68378,RAWrabica005000
0700IbnYusufIbnJabar.NahjIman.Shia003710-ara1,0.68365,RELEASE
7773.json,0.68358,RAW_ABLibrary
1208.json,0.68348,RAW_ABLibrary
0614MansurCabdAllah.CiqdThamin.Zaydiyya0000349-ara1,0.6832,RELEASE
7490.json,0.68294,RAW_ABLibrary
0700IbnYusufIbnJabar.NahjIman.Shia003710-ara1,0.68284,RELEASE
Sham30K0033695,0.68263,RAWrabica020000
8513.json,0.68258,RAW_ABLibrary
12778.json,0.68257,RAW_ABLibrary
7433.json,0.68254,RAW_ABLibrary
8360.json,0.6825,RAW_ABLibrary
1450MajalisAlMuhammad.MaqalatIslamiyya.Zaydiyya0000474-ara1,0.68247,RELEASE
0614MansurCabdAllah.CiqdThamin.Zaydiyya0000349-ara1,0.68237,RELEASE
1121.html,0.68237,RAWrabicaRafed
7494.json,0.68221,RAW_ABLibrary
1183.json,0.68204,RAW_ABLibrary
1450MajalisAlMuhammad.MaqalatIslamiyya.Zaydiyya0000474-ara1,0.68199,RELEASE
