unknown,TFIDF_cosine,libVar
1450CabdKarimWazzaf.QawlAwwalWaThaniLiImamQasim.Zaydiyya0000151-ara1,0.77673,RELEASE
1450CabdKarimWazzaf.QawlAwwalWaThaniLiImamQasim.Zaydiyya0000151-ara1,0.77505,RELEASE
12967.json,0.69107,RAW_ABLibrary
0916IbnFanad.MaathirAbrar.Zaydiyya0000090-ara1,0.67879,RELEASE
12968.json,0.67796,RAW_ABLibrary
0916IbnFanad.MaathirAbrar.Zaydiyya0000090-ara1,0.6756,RELEASE
1373AhmadShamat.AimmatAhlBaytZaydiyya.Zaydiyya0000382-ara1,0.67363,RELEASE
1152IbrahimShajari.TabaqatZaydiyyaKubra.Zaydiyya0000100-ara1,0.67203,RELEASE
1450CabdKarimWazzaf.QawlAwwalWaThaniLiImamHadi.Zaydiyya0000350-ara1,0.671,RELEASE
1337IbnCabdAllahJundari.TarajimRijalFiSharhAzhar.Shia000814VolsBK1-ara1,0.67076,RELEASE
1373AhmadShamat.AimmatAhlBaytZaydiyya.Zaydiyya0000382-ara1,0.67015,RELEASE
1428MajdDinMuayyadi.Tuhaf.Zaydiyya0000392-ara1,0.66961,RELEASE
1450CabdKarimWazzaf.QawlAwwalWaThaniLiImamHadi.Zaydiyya0000350-ara1,0.66944,RELEASE
Sham30K0034641,0.66935,RAWrabica025000
1152IbrahimShajari.TabaqatZaydiyyaKubra.Zaydiyya0000100-ara1,0.66933,RELEASE
202.html,0.66828,RAWrabicaRafed
1337IbnCabdAllahJundari.TarajimRijalFiSharhAzhar.Shia000814VolsBK1-ara1,0.66802,RELEASE
8361.json,0.66799,RAW_ABLibrary
Sham30K0033697,0.66631,RAWrabica020000
1198AhmadIbnSalahKhatib.AmanMinMasailThaman.Zaydiyya0000343-ara1,0.66048,RELEASE
1198AhmadIbnSalahKhatib.AmanMinMasailThaman.Zaydiyya0000343-ara1,0.65787,RELEASE
Shamela002771.txt,0.65751,raw_ShamelaY19
2771.json,0.65617,RAWrabicaShamAY1
2771.bok.json,0.65577,RAWrabicaSham19Y
Sham30K0002771,0.65534,RAWrabica005000
3471.html,0.65453,RAWrabicaRafed
75.json,0.65274,RAW_ABLibrary
9014.json,0.65184,RAW_ABLibrary
8601.json,0.64983,RAW_ABLibrary
1092AhmadIbnAbiRijal.MatlacBudur.Zaydiyya0000101-ara1,0.64898,RELEASE
3242.html,0.64712,RAWrabicaRafed
1428MajdDinMuayyadi.Tuhaf.Zaydiyya0000086-ara1,0.64679,RELEASE
1092AhmadIbnAbiRijal.MatlacBudur.Zaydiyya0000101-ara1,0.64562,RELEASE
1450KazimZaydi.MajmucRasailKazim.Zaydiyya0000589-ara1,0.64541,RELEASE
1428MajdDinMuayyadi.Tuhaf.Zaydiyya0000086-ara1,0.64515,RELEASE
8591.json,0.64229,RAW_ABLibrary
8523.json,0.64179,RAW_ABLibrary
1428MajdDinMuayyadi.CuyunMukhtar.Zaydiyya0000018-ara1,0.64081,RELEASE
1458.html,0.64016,RAWrabicaRafed
0945ShamsDinDawudi.TabaqatMufassirin.Shamela0027084-ara1,0.64006,RELEASE
Shamela027084.txt,0.64005,raw_ShamelaY19
3477.html,0.6393,RAWrabicaRafed
14167.json,0.63916,RAW_ABLibrary
2433.html,0.63871,RAWrabicaRafed
1428MajdDinMuayyadi.CuyunMukhtar.Zaydiyya0000018-ara1,0.63811,RELEASE
0424AbuTalibYahyaHaruni.IfadaFiTarikhAimma.Zaydiyya0000088-ara1,0.63796,RELEASE
0945ShamsDinDawudi.TabaqatMufassirin.Shamela0027084-ara1,0.63728,RELEASE
3237.html,0.63586,RAWrabicaRafed
12989.json,0.63553,RAW_ABLibrary
78.json,0.6349,RAW_ABLibrary
3187.html,0.6342,RAWrabicaRafed
7423.json,0.63382,RAW_ABLibrary
000013.automARkdown,0.63376,RAW_Masaha
3278.html,0.63361,RAWrabicaRafed
13216.json,0.63291,RAW_ABLibrary
Shamela016822.txt,0.63277,raw_ShamelaY19
79.json,0.63263,RAW_ABLibrary
228.html,0.63213,RAWrabicaRafed
8895.json,0.63197,RAW_ABLibrary
003486.automARkdown,0.63176,RAW_Masaha
Shamela009974.txt,0.63162,raw_ShamelaY19
11234.json,0.63158,RAW_ABLibrary
1346.json,0.63069,RAW_ABLibrary
839.json,0.63037,RAW_ABLibrary
0122ZaydIbnCali.MusnadZayd.Zaydiyya0000052-ara1,0.63002,RELEASE
1061AhmadHabisYamani.IjazatIbnYahya.Zaydiyya0000378-ara1,0.62952,RELEASE
8588.json,0.62925,RAW_ABLibrary
12957.json,0.629,RAW_ABLibrary
1450MuhammadYahyaCizzan.SahabaCindaZaydiyya.Zaydiyya0000104-ara1,0.62779,RELEASE
11558.json,0.6276,RAW_ABLibrary
001648.automARkdown,0.6275,RAW_Masaha
Shamela011297.txt,0.62682,raw_ShamelaY19
3419.html,0.62677,RAWrabicaRafed
2247.html,0.62641,RAWrabicaRafed
1061AhmadHabisYamani.IjazatIbnYahya.Zaydiyya0000378-ara1,0.62632,RELEASE
0742Mizzi.TahdhibKamal.Shamela0003722-ara1,0.62631,RELEASE
11596.json,0.62579,RAW_ABLibrary
Shamela003722.txt,0.62571,raw_ShamelaY19
Sham30K0046541,0.62557,RAWrabica035000
0353AbuCabbasHasani.Masabih.Zaydiyya0000087-ara1,0.62548,RELEASE
12990.json,0.62545,RAW_ABLibrary
003526Vols.automARkdown,0.6253,RAW_Masaha
Shamela017349.txt,0.62513,raw_ShamelaY19
8680.json,0.62507,RAWrabicaShamAY1
9774.json,0.62506,RAW_ABLibrary
Shamela037618.txt,0.62502,raw_ShamelaY19
2720.html,0.62496,RAWrabicaRafed
1307Qannawji.TajMukallal.Sham19Y0017349-ara1,0.62494,RELEASE
Shia000811,0.62466,RAWrabica040000
11562.json,0.62459,RAW_ABLibrary
1450KazimZaydi.MajmucRasailKazim.Zaydiyya0000494-ara1,0.62454,RELEASE
0852IbnHajarCasqalani.MatalibCaliyya.Sham19Y0037618-ara1,0.62453,RELEASE
13007.json,0.6244,RAW_ABLibrary
