unknown,TFIDF_cosine,libVar
Shamela020882.txt,1.0,raw_ShamelaY19
38869.json,0.9815,RAWrabicaShamAY3
Sham30K0006756,0.89924,RAWrabica010000
Shamela008266.txt,0.89023,raw_ShamelaY19
Shamela020869.txt,0.88955,raw_ShamelaY19
8266.json,0.88886,RAWrabicaShamAY1
Sham30K0008266,0.88801,RAWrabica010000
0281IbnAbiDunya.Cuqubat.Shamela0008266-ara1,0.88778,RELEASE
Sham30K0033577,0.88737,RAWrabica020000
1450KhalidRibat.JamicIbnHanbalTafsir.Sham19Y0020869-ara1,0.88712,RELEASE
1450KhalidRibat.JamicIbnHanbalTafsir.Sham19Y0020869-ara1,0.88625,RELEASE
13035.json,0.88237,RAWrabicaShamAY2
Sham30K0037973,0.88208,RAWrabica025000
Sham30K0045904,0.882,RAWrabica035000
Shamela013058.txt,0.88193,raw_ShamelaY19
Sham30K0036253,0.8819,RAWrabica025000
13058.bok.json,0.88175,RAWrabicaSham19Y
JK001153,0.88084,RAWrabica005000
13058.json,0.87964,RAWrabicaShamAY2
0281IbnAbiDunya.Muhtadarin.Shamela0013058-ara1,0.87947,RELEASE
Shamela013035.txt,0.87902,raw_ShamelaY19
Sham30K0032302,0.87896,RAWrabica020000
9428.json,0.87864,RAWrabicaShamAY1
Shamela009428.txt,0.87852,raw_ShamelaY19
Sham30K0013058,0.8781,RAWrabica015000
13035.bok.json,0.87803,RAWrabicaSham19Y
38861.json,0.87781,RAWrabicaShamAY3
Shamela006899.txt,0.87756,raw_ShamelaY19
6899.json,0.87726,RAWrabicaShamAY1
JK009158,0.87717,RAWrabica005000
0360AbuBakrAjurri.Sharica.Shamela0013035-ara1,0.87686,RELEASE
0311AbuBakrKhallal.AhkamAhlMilal.Shamela0009428-ara1,0.87678,RELEASE
Sham30K0041190,0.8765,RAWrabica030000
Sham30K0036332,0.8765,RAWrabica025000
Sham30K0006899,0.87534,RAWrabica010000
Sham30K0000617,0.87518,RAWrabica005000
33935.json,0.87484,RAWrabicaShamAY2
Sham30K0013035,0.8747,RAWrabica015000
Sham30K0045061,0.87436,RAWrabica035000
Sham30K0009428,0.87398,RAWrabica015000
Sham30K0037564,0.87343,RAWrabica025000
Sham30K0036087,0.87325,RAWrabica025000
98.json,0.87168,RAW_ABLibrary
Sham30K0015927,0.87157,RAWrabica020000
Sham30K0032262,0.87089,RAWrabica020000
JK009174,0.87069,RAWrabica005000
Sham30K0042747,0.87015,RAWrabica030000
0281IbnAbiDunya.QasrAmal.JK009174-ara1,0.86981,RELEASE
13563.json,0.86978,RAW_ABLibrary
Sham30K0036813,0.86878,RAWrabica025000
Sham30K0045650,0.86832,RAWrabica035000
38131.json,0.86745,RAWrabicaShamAY3
Shamela012991.txt,0.86739,raw_ShamelaY19
Sham30K0015918,0.86737,RAWrabica020000
JK000011,0.86726,RAWrabica005000
21670.bok.json,0.86712,RAWrabicaSham19Y
21670.json,0.86708,RAWrabicaShamAY2
Shamela021670.txt,0.86706,raw_ShamelaY19
12991.bok.json,0.86542,RAWrabicaSham19Y
Sham30K0021670,0.86494,RAWrabica020000
Shia001922,0.86453,RAWrabica040000
12991.json,0.86451,RAWrabicaShamAY2
Sham30K0033554,0.86441,RAWrabica020000
38128.json,0.86391,RAWrabicaShamAY3
0277IbnSufyanFasawi.Mashyakha.Shamela0021670-ara1,0.86358,RELEASE
Sham30K0012991,0.86311,RAWrabica015000
Sham30K0045664,0.8625,RAWrabica035000
38030.json,0.86153,RAWrabicaShamAY3
0281IbnAbiDunya.IshrafFiManazil.JK001039-ara1,0.86151,RELEASE
Sham30K0015983,0.86109,RAWrabica020000
JK001039,0.86109,RAWrabica005000
