unknown,TFIDF_cosine,libVar
1696.json,0.98677,RAWrabicaShamAY1
21549.bok.json,0.98664,RAWrabicaSham19Y
Shamela021549.txt,0.98431,raw_ShamelaY19
Sham30K0040157,0.98351,RAWrabica030000
Sham30K0038852,0.98121,RAWrabica025000
Shamela0021549,0.9745,RAWrabica040000
Shamela009254.txt,0.92883,raw_ShamelaY19
9254.json,0.92844,RAWrabicaShamAY1
Sham30K0034546,0.92722,RAWrabica025000
Sham30K0009254,0.92586,RAWrabica015000
0429AbuMansurThacalibi.Jawahir.ShamAY0034066-ara1,0.90108,RELEASE
0741KhazinBaghdadi.LubabTawil.JK009244-ara1,0.90044,RELEASE
JK009244,0.90025,RAWrabica005000
11790.json,0.89966,RAW_ABLibrary
0741KhazinBaghdadi.LubabTawil.Shamela0023628-ara1,0.89926,RELEASE
31780.json,0.89865,RAWrabicaShamAY2
0741KhazinBaghdadi.LubabTawil.Shamela0023628-ara1,0.89798,RELEASE
Shamela023628.txt,0.89716,raw_ShamelaY19
Sham30K0046402,0.89677,RAWrabica035000
Shamela008514.txt,0.89674,raw_ShamelaY19
1225IbnGhannamMalikiNajdi.CiqdThamin.Shamela0008514-ara1,0.89628,RELEASE
1225IbnGhannamMalikiNajdi.CiqdThamin.Shamela0008514-ara1,0.89472,RELEASE
Shamela009610.txt,0.89372,raw_ShamelaY19
1225ThanaAllahPanipati.TafsirMazhari.Shamela0021766-ara1,0.89348,RELEASE
0873AbuZaydThacalibi.JawahirHisan.Tafsir02023-ara1,0.89329,RELEASE
23594.bok.json,0.89303,RAWrabicaSham19Y
1657.json,0.89303,RAWrabicaShamAY1
Shamela011326.txt,0.89286,raw_ShamelaY19
1225ThanaAllahPanipati.TafsirMazhari.Shamela0021766-ara1,0.89275,RELEASE
Shamela147666.txt,0.89252,raw_ShamelaY19
Sham30K0001331,0.89243,RAWrabica005000
23594.json,0.89239,RAWrabicaShamAY2
34067.json,0.89234,RAWrabicaShamAY2
9610.json,0.89195,RAWrabicaShamAY1
1317KhayrDinAlusi.FathAllahHamid.Sham19Y0011326-ara1,0.89192,RELEASE
0741KhazinBaghdadi.LubabTawil.ShamAY0034067-ara1,0.89186,RELEASE
11326.json,0.89184,RAWrabicaShamAY2
Sham30K0038318,0.8918,RAWrabica025000
Shamela031076.txt,0.89176,raw_ShamelaY19
35006.json,0.89144,RAWrabicaShamAY3
Sham30K0000787,0.89131,RAWrabica005000
Shamela022922.txt,0.8913,raw_ShamelaY19
11943.json,0.89126,RAW_ABLibrary
0367AbuLaythSamarqandi.BahrCulum.Shamela0023594-ara1,0.89086,RELEASE
34066.json,0.89045,RAWrabicaShamAY2
1317KhayrDinAlusi.FathAllahHamid.Sham19Y0011326-ara1,0.89036,RELEASE
21766.bok.json,0.88938,RAWrabicaSham19Y
Shamela023594.txt,0.88929,raw_ShamelaY19
Sham30K0032616,0.88911,RAWrabica020000
Sham30K0006239,0.88878,RAWrabica010000
Sham30K0033987,0.88839,RAWrabica020000
21766.json,0.88836,RAWrabicaShamAY2
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Tafsir02102-ara1,0.8878,RELEASE
Sham30K0007073,0.88738,RAWrabica010000
Shamela021766.txt,0.8873,raw_ShamelaY19
Sham30K0011326,0.88726,RAWrabica015000
Sham30K0023594,0.88686,RAWrabica020000
170.json,0.88682,RAWrabicaShamAY1
Sham30K0040234,0.88678,RAWrabica030000
Shamela000170.txt,0.88649,raw_ShamelaY19
Sham30K0038762,0.88643,RAWrabica025000
0671AbuCabdAllahQurtubi.JamicLiAhkamQuran.Tafsir01005-ara1,0.88635,RELEASE
33851.json,0.88619,RAWrabicaShamAY2
0728IbnTaymiyya.JawabSahih.Shamela0000170-ara1,0.88561,RELEASE
Shamela004185.txt,0.88557,raw_ShamelaY19
0774IbnKathir.TafsirQuran.Tafsir01007-ara7,0.88555,RELEASE
Shamela011378.txt,0.88549,raw_ShamelaY19
Sham30K0000430,0.88549,RAWrabica005000
Shamela002386.txt,0.88545,raw_ShamelaY19
