unknown,TFIDF_cosine,libVar
0786ShahidAwwal.Mazar.Shia001386-ara1,0.79111,RELEASE
001074.automARkdown,0.78998,RAW_Masaha
0786ShahidAwwal.Mazar.Shia001386-ara1,0.7891,RELEASE
0610MuhammadIbnMashhadi.Mazar.Shia001357-ara1,0.7847,RELEASE
001025.automARkdown,0.78412,RAW_Masaha
0610MuhammadIbnMashhadi.Mazar.Shia001357-ara1,0.78299,RELEASE
14754.automARkdown,0.75647,RAW_Ghbook
000699Vols.automARkdown,0.75532,RAW_Masaha
2916.automARkdown,0.75485,RAW_Ghbook
13340.json,0.75172,RAW_ABLibrary
14795.automARkdown,0.74964,RAW_Ghbook
798.json,0.73415,RAW_ABLibrary
1318.html,0.72868,RAWrabicaRafed
1513.html,0.72338,RAWrabicaRafed
11518.json,0.72016,RAW_ABLibrary
10482.json,0.69621,RAW_ABLibrary
7851.json,0.69225,RAW_ABLibrary
0800IbnSulaymanCizzDinHilli.Mukhtasar.Shia001387-ara1,0.68907,RELEASE
0800IbnSulaymanCizzDinHilli.Mukhtasar.Shia001387-ara1,0.68777,RELEASE
4617.automARkdown,0.68692,RAW_Ghbook
7850.json,0.68658,RAW_ABLibrary
002035.automARkdown,0.68612,RAW_Masaha
0660ShadhanIbnJibrailQummi.Rawda.Shia001360-ara1,0.68531,RELEASE
0660ShadhanIbnJibrailQummi.Rawda.Shia001360-ara1,0.68418,RELEASE
Shia001386,0.68294,RAWrabica040000
0705IbnYusufHilli.CudadQawiyya.Shia003711-ara1,0.68061,RELEASE
0705IbnYusufHilli.CudadQawiyya.Shia003711-ara1,0.67964,RELEASE
10484.json,0.67947,RAW_ABLibrary
0260ImamCaskari.Tafsir.Shia002334-ara1,0.67904,RELEASE
1250.json,0.67705,RAW_ABLibrary
9568.automARkdown,0.67642,RAW_Ghbook
0573IbnHibatAllahQutbDinRawandi.Dacawat.Shia000047-ara1,0.67477,RELEASE
1086.json,0.67459,RAW_ABLibrary
1204.html,0.67449,RAWrabicaRafed
10496.json,0.67435,RAW_ABLibrary
002865.automARkdown,0.67388,RAW_Masaha
0334IbnHamdanKhusaybi.HidayaKubra.Shia001276-ara1,0.67124,RELEASE
10500.json,0.67111,RAW_ABLibrary
7722.json,0.67087,RAW_ABLibrary
11310.json,0.67074,RAW_ABLibrary
15143.automARkdown,0.66792,RAW_Ghbook
15123.automARkdown,0.66761,RAW_Ghbook
000146Vols.automARkdown,0.66686,RAW_Masaha
5940.automARkdown,0.66497,RAW_Ghbook
000385.automARkdown,0.66462,RAW_Masaha
0726CallamaHilli.KashfYaqin.Shia003712-ara1,0.66449,RELEASE
001990Vols.automARkdown,0.66445,RAW_Masaha
0726CallamaHilli.KashfYaqin.Shia003712-ara1,0.66259,RELEASE
0548IbnHasanTabarsi.IclamWara.Shia003695Vols-ara1,0.66183,RELEASE
9259.automARkdown,0.66099,RAW_Ghbook
11308.json,0.66082,RAW_ABLibrary
0700MuhammadIbnMuhammadSabzawari.MacarijYaqin.Shia004012-ara1,0.65986,RELEASE
0700MuhammadIbnMuhammadSabzawari.MacarijYaqin.Shia004012-ara1,0.65842,RELEASE
1450Anonymous.AnwarYaqin.Zaydiyya0000410Vols-ara1,0.65818,RELEASE
1450Anonymous.AnwarYaqin.Zaydiyya0000288-ara2,0.65777,RELEASE
8131.automARkdown,0.65706,RAW_Ghbook
7990.automARkdown,0.65688,RAW_Ghbook
12264.json,0.6564,RAW_ABLibrary
0560IbnCaliIbnHamzaTusi.ThaqibFiManaqib.Shia001341-ara1,0.65613,RELEASE
1121.html,0.65612,RAWrabicaRafed
7688.json,0.65607,RAW_ABLibrary
8022.automARkdown,0.65588,RAW_Ghbook
1450Anonymous.AnwarYaqin.Zaydiyya0000288-ara2,0.6555,RELEASE
5226.automARkdown,0.65531,RAW_Ghbook
000673Vols.automARkdown,0.65466,RAW_Masaha
0548IbnHasanTabarsi.Ihtijaj.Shia001337Vols-ara1,0.65431,RELEASE
0700MuhammadIbnHasanQummi.CiqdNadid.Shia001382-ara1,0.65414,RELEASE
002491Vols.automARkdown,0.65302,RAW_Masaha
0700MuhammadIbnHasanQummi.CiqdNadid.Shia001382-ara1,0.65271,RELEASE
12261.json,0.65254,RAW_ABLibrary
11314.json,0.65182,RAW_ABLibrary
7831.automARkdown,0.6506,RAW_Ghbook
11316.json,0.65008,RAW_ABLibrary
1107HashimBahrani.HilyatAbrar.Shia001421Vols-ara1,0.64997,RELEASE
001666.automARkdown,0.64955,RAW_Masaha
1183.json,0.6495,RAW_ABLibrary
35641.json,0.64766,RAWrabicaShamAY3
11510.json,0.64755,RAW_ABLibrary
1107HashimBahrani.HilyatAbrar.Shia001421Vols-ara1,0.64753,RELEASE
8123.automARkdown,0.6475,RAW_Ghbook
9489.json,0.64745,RAW_ABLibrary
1507.html,0.64711,RAWrabicaRafed
1269MansurAhmad.SafinaMunajjiya.Zaydiyya0000133-ara1,0.64705,RELEASE
12328.automARkdown,0.64683,RAW_Ghbook
002310.automARkdown,0.64628,RAW_Masaha
1269MansurAhmad.SafinaMunajjiya.Zaydiyya0000133-ara1,0.64583,RELEASE
002203Vols.automARkdown,0.64581,RAW_Masaha
5993.automARkdown,0.64557,RAW_Ghbook
003223Vols.automARkdown,0.64497,RAW_Masaha
1450QasimIbnAhmadHusayni.MansubatWaMandubat.Zaydiyya0000067-ara1,0.64485,RELEASE
14797.automARkdown,0.64469,RAW_Ghbook
13646.json,0.64428,RAW_ABLibrary
385.html,0.64425,RAWrabicaRafed
002228Vols.automARkdown,0.64423,RAW_Masaha
002868.automARkdown,0.64411,RAW_Masaha
0246QasimRassi.KamilMunir.Zaydiyya0000003-ara1,0.64343,RELEASE
0660ShadhanIbnJibrailQummi.Fadail.Shia001361-ara1,0.64329,RELEASE
1450QasimIbnAhmadHusayni.MansubatWaMandubat.Zaydiyya0000067-ara1,0.64233,RELEASE
1294IbnIbrahimQunduzi.YanabicMuwadda.Shia003754Vols-ara1,0.64226,RELEASE
7687.json,0.64122,RAW_ABLibrary
0660ShadhanIbnJibrailQummi.Fadail.Shia001361-ara1,0.64097,RELEASE
1294IbnIbrahimQunduzi.YanabicMuwadda.Shia003754Vols-ara1,0.64054,RELEASE
000405.automARkdown,0.64037,RAW_Masaha
003104.automARkdown,0.64031,RAW_Masaha
10491.json,0.63977,RAW_ABLibrary
128.html,0.6396,RAWrabicaRafed
1382.json,0.63922,RAW_ABLibrary
12778.json,0.63911,RAW_ABLibrary
9866.automARkdown,0.63908,RAW_Ghbook
9862.automARkdown,0.63906,RAW_Ghbook
9865.automARkdown,0.63906,RAW_Ghbook
9863.automARkdown,0.63905,RAW_Ghbook
9864.automARkdown,0.63905,RAW_Ghbook
10495.json,0.63772,RAW_ABLibrary
11329.json,0.63673,RAW_ABLibrary
11259.json,0.63653,RAW_ABLibrary
8068.automARkdown,0.6365,RAW_Ghbook
7613.json,0.63577,RAW_ABLibrary
790.json,0.63548,RAW_ABLibrary
5920.automARkdown,0.6352,RAW_Ghbook
7981.automARkdown,0.63494,RAW_Ghbook
0965SharafDinAstarabadiHusayni.TawilAyat.Shia003744Vols-ara1,0.63493,RELEASE
0965SharafDinAstarabadiHusayni.TawilAyat.Shia003744Vols-ara1,0.63438,RELEASE
977.json,0.63402,RAW_ABLibrary
16347.automARkdown,0.63354,RAW_Ghbook
002488.automARkdown,0.63342,RAW_Masaha
0693IbnAbiFathIrbili.KashfGhumma.Shia003707Vols-ara1,0.63293,RELEASE
7690.json,0.63276,RAW_ABLibrary
12135.json,0.63236,RAW_ABLibrary
14703.automARkdown,0.63213,RAW_Ghbook
2405.automARkdown,0.63166,RAW_Ghbook
0693IbnAbiFathIrbili.KashfGhumma.Shia003707Vols-ara1,0.63082,RELEASE
6237.automARkdown,0.63073,RAW_Ghbook
7849.json,0.6301,RAW_ABLibrary
289.html,0.62978,RAWrabicaRafed
Shamela036170.txt,0.62973,raw_ShamelaY19
000520.automARkdown,0.6296,RAW_Masaha
737.html,0.62922,RAWrabicaRafed
3061.html,0.62917,RAWrabicaRafed
407.html,0.6291,RAWrabicaRafed
002195Vols.automARkdown,0.62907,RAW_Masaha
004762.automARkdown,0.62906,RAW_Masaha
