unknown,TFIDF_cosine,libVar
10442.json,0.90193,RAW_ABLibrary
000446.automARkdown,0.89869,RAW_Masaha
86.json,0.89275,RAWrabicaShamAY1
Shamela034886.txt,0.89264,raw_ShamelaY19
8529.json,0.89058,RAW_ABLibrary
000423Vols.automARkdown,0.88967,RAW_Masaha
8309.json,0.88959,RAW_ABLibrary
Shamela014284.txt,0.88943,raw_ShamelaY19
000016Vols.automARkdown,0.88881,RAW_Masaha
3028.html,0.88864,RAWrabicaRafed
0700IbnYusufIbnJabar.NahjIman.Shia003710-ara1,0.8882,RELEASE
Sham30K0002407,0.88806,RAWrabica005000
0700IbnYusufIbnJabar.NahjIman.Shia003710-ara1,0.88768,RELEASE
002883Vols.automARkdown,0.88727,RAW_Masaha
5299.automARkdown,0.88716,RAW_Ghbook
10439.json,0.88638,RAW_ABLibrary
3029.html,0.88528,RAWrabicaRafed
0508FattalNaysaburi.RawdatWacizin.Shia001171-ara1,0.88471,RELEASE
1091MuhammadMuhsinFaydKashani.TafsirSafi.Shia002382Vols-ara1,0.88376,RELEASE
Shamela008647.txt,0.8835,raw_ShamelaY19
13374.json,0.88337,RAW_ABLibrary
1091MuhammadMuhsinFaydKashani.TafsirSafi.Shia002382Vols-ara1,0.88296,RELEASE
3484.html,0.88284,RAWrabicaRafed
000603.automARkdown,0.88266,RAW_Masaha
002201Vols.automARkdown,0.88262,RAW_Masaha
10506.json,0.88235,RAW_ABLibrary
Shamela115133.txt,0.88207,raw_ShamelaY19
004762.automARkdown,0.88173,RAW_Masaha
31656.json,0.88165,RAWrabicaShamAY2
0667CabdAllahIbnZaydCanasi.Irshad.Zaydiyya0000259-ara1,0.88116,RELEASE
0667CabdAllahIbnZaydCanasi.Irshad.Zaydiyya0000259-ara1,0.88089,RELEASE
1183.json,0.8808,RAW_ABLibrary
Shamela146418.txt,0.88012,raw_ShamelaY19
11943.json,0.88012,RAW_ABLibrary
Sham30K0044578,0.87984,RAWrabica035000
3512.html,0.87967,RAWrabicaRafed
1121.html,0.8796,RAWrabicaRafed
Sham30K0044555,0.87954,RAWrabica035000
1233SulaymanSibtIbnCabdWahhab.TawdihCanTawhid.Shamela0007597-ara1,0.87952,RELEASE
7597.json,0.87914,RAWrabicaShamAY1
Shamela009655.txt,0.87909,raw_ShamelaY19
Shamela007597.txt,0.87895,raw_ShamelaY19
0956IbnCumarShamsDinSafiri.MajalisWacziyya.Shamela0009823-ara1,0.87894,RELEASE
002491Vols.automARkdown,0.87883,RAW_Masaha
1062CabdAllahSharafi.MasabihSatica.Zaydiyya0000020-ara2,0.87872,RELEASE
Sham30K0014746,0.8785,RAWrabica020000
8319.json,0.87845,RAW_ABLibrary
7597.bok.json,0.87841,RAWrabicaSham19Y
001978Vols.automARkdown,0.8784,RAW_Masaha
35303.json,0.87826,RAWrabicaShamAY3
1233SulaymanSibtIbnCabdWahhab.TawdihCanTawhid.Shamela0007597-ara1,0.87819,RELEASE
